period,case_prefix,loss_basis,metric,parameter,value_2022_usd,tail_count,headline_supported,declared_years
TRAINING,c1,benchmark_retained,aep_pml,100,0,10000,True,1000000
TRAINING,c1,benchmark_retained,aep_pml,250,0,4000,True,1000000
TRAINING,c1,benchmark_retained,aep_pml,500,9548628.9592095483,2000,True,1000000
TRAINING,c1,benchmark_retained,aep_pml,1000,18811083.540145438,1000,True,1000000
TRAINING,c1,benchmark_retained,aep_pml,2500,33496598.330984816,400,True,1000000
TRAINING,c1,benchmark_retained,aep_pml,5000,72892517.378189459,200,True,1000000
TRAINING,c1,benchmark_retained,aep_pml,10000,105464726.73065074,100,True,1000000
TRAINING,c1,benchmark_retained,aep_pml,50000,165555336.7202841,20,True,1000000
TRAINING,c1,benchmark_retained,aep_pml,100000,186671872.37708008,10,False,1000000
TRAINING,c1,benchmark_retained,aep_pml,1000000,226607800.12138528,1,False,1000000
TRAINING,c1,benchmark_retained,var,0.98999999999999999,0,10001,True,1000000
TRAINING,c1,benchmark_retained,tvar,0.98999999999999999,6547988.1380463624,10001,True,1000000
TRAINING,c1,benchmark_retained,tvar_minus_mean,0.98999999999999999,6482501.7086777603,10001,True,1000000
TRAINING,c1,benchmark_retained,var,0.995,0,5001,True,1000000
TRAINING,c1,benchmark_retained,tvar,0.995,13094666.940332267,5001,True,1000000
TRAINING,c1,benchmark_retained,tvar_minus_mean,0.995,13029180.510963665,5001,True,1000000
TRAINING,c1,cash_net,aep_pml,100,0,10000,True,1000000
TRAINING,c1,cash_net,aep_pml,250,0,4000,True,1000000
TRAINING,c1,cash_net,aep_pml,500,463159.46992121288,2000,True,1000000
TRAINING,c1,cash_net,aep_pml,1000,18800364.562742729,1000,True,1000000
TRAINING,c1,cash_net,aep_pml,2500,66835851.884452187,400,True,1000000
TRAINING,c1,cash_net,aep_pml,5000,105374710.24548677,200,True,1000000
TRAINING,c1,cash_net,aep_pml,10000,136145790.74796519,100,True,1000000
TRAINING,c1,cash_net,aep_pml,50000,193031456.01851764,20,True,1000000
TRAINING,c1,cash_net,aep_pml,100000,217334404.5336498,10,False,1000000
TRAINING,c1,cash_net,aep_pml,1000000,260395402.41391292,1,False,1000000
TRAINING,c1,cash_net,var,0.98999999999999999,0,10001,True,1000000
TRAINING,c1,cash_net,tvar,0.98999999999999999,7522411.9279659968,10001,True,1000000
TRAINING,c1,cash_net,tvar_minus_mean,0.98999999999999999,7466885.7293796493,10001,True,1000000
TRAINING,c1,cash_net,var,0.995,0,5001,True,1000000
TRAINING,c1,cash_net,tvar,0.995,15043319.674382711,5001,True,1000000
TRAINING,c1,cash_net,tvar_minus_mean,0.995,14987793.475796362,5001,True,1000000
