source_type,candidate_id,attachment_index,distance_decay,tier_step,normalized_training_mse,training_occurrences,selected
INTERFACE,85,6.25,1,0.25,0.63587678876952813,3364,False
INTERFACE,86,6.25,1,0.5,0.54983770501932716,3364,False
INTERFACE,87,6.25,1,0.75,0.36973941424740492,3364,False
INTERFACE,88,6.25,1,1,0.23611481522727801,3364,False
INTERFACE,89,6.25,1.5,0.25,0.60693059376358272,3364,False
INTERFACE,90,6.25,1.5,0.5,0.47881067433355523,3364,False
INTERFACE,91,6.25,1.5,0.75,0.3321146422263298,3364,False
INTERFACE,92,6.25,1.5,1,0.20331119369211093,3364,False
INTERFACE,93,6.25,2,0.25,0.53203835238427244,3364,False
INTERFACE,94,6.25,2,0.5,0.42086509034501113,3364,False
INTERFACE,95,6.25,2,0.75,0.25464211025017841,3364,False
INTERFACE,96,6.25,2,1,0.18095092057442982,3364,False
INTERFACE,97,6.5,0.5,0.25,0.63613689578498589,3364,False
INTERFACE,98,6.5,0.5,0.5,0.57044317619757168,3364,False
INTERFACE,99,6.5,0.5,0.75,0.35590726781080295,3364,False
INTERFACE,100,6.5,0.5,1,0.23061135654819306,3364,False
INTERFACE,101,6.5,1,0.25,0.62463644988724509,3364,False
INTERFACE,102,6.5,1,0.5,0.48965233785604523,3364,False
INTERFACE,103,6.5,1,0.75,0.2933291261199335,3364,False
INTERFACE,104,6.5,1,1,0.18917450412545883,3364,False
INTERFACE,105,6.5,1.5,0.25,0.55856926796096684,3364,False
INTERFACE,106,6.5,1.5,0.5,0.42995170685789486,3364,False
INTERFACE,107,6.5,1.5,0.75,0.24748427716599911,3364,False
INTERFACE,108,6.5,1.5,1,0.17207017211954612,3364,False
INTERFACE,109,6.5,2,0.25,0.48345194357295762,3364,False
INTERFACE,110,6.5,2,0.5,0.37431128677784198,3364,False
INTERFACE,111,6.5,2,0.75,0.20825368193358934,3364,False
INTERFACE,112,6.5,2,1,0.13842717565796847,3364,False
INTERFACE,113,6.75,0.5,0.25,0.63587678876952813,3364,False
INTERFACE,114,6.75,0.5,0.5,0.50276092757578783,3364,False
INTERFACE,115,6.75,0.5,0.75,0.2892649524642642,3364,False
INTERFACE,116,6.75,0.5,1,0.1859125702204816,3364,False
INTERFACE,117,6.75,1,0.25,0.58645645583254824,3364,False
INTERFACE,118,6.75,1,0.5,0.42747416649072228,3364,False
INTERFACE,119,6.75,1,0.75,0.23204209022430392,3364,False
INTERFACE,120,6.75,1,1,0.15396237218157979,3364,False
INTERFACE,121,6.75,1.5,0.25,0.50581460951390056,3364,False
INTERFACE,122,6.75,1.5,0.5,0.36061586860985462,3364,False
INTERFACE,123,6.75,1.5,0.75,0.20225818598523354,3364,False
INTERFACE,124,6.75,1.5,1,0.13533402751864132,3364,False
INTERFACE,125,6.75,2,0.25,0.43083351942280773,3364,False
INTERFACE,126,6.75,2,0.5,0.31100477346595484,3364,False
INTERFACE,127,6.75,2,0.75,0.16504687788719999,3364,False
INTERFACE,128,6.75,2,1,0.11562054859692956,3364,False
INTERFACE,129,7,0.5,0.25,0.61124093859116901,3364,False
INTERFACE,130,7,0.5,0.5,0.42423863440010773,3364,False
INTERFACE,131,7,0.5,0.75,0.22013275963975074,3364,False
INTERFACE,132,7,0.5,1,0.15678197059083324,3364,False
