period,source_type,occurrences,minimum_magnitude,maximum_magnitude,minimum_distance_km,maximum_distance_km
EVALUATION,INTERFACE,3316,8,9.3399999999999999,27.340780041152996,471.06494878587682
EVALUATION,SLAB,1962,6.5499999999999998,7.9500000000000002,42.23614092220074,437.31773631994389
TRAINING,INTERFACE,3364,8,9.3399999999999999,27.340780041152996,461.33470479034793
TRAINING,SLAB,1988,6.5499999999999998,7.5499999999999998,42.23614092220074,448.48166350476356
