chunk_sequence,chunk_id,rows,occurrences,minimum_occurrence_ordinal,maximum_occurrence_ordinal,sampled_ground_up_loss_sum_2022_usd,gross_insured_loss_sum_2022_usd,uninsured_loss_sum_2022_usd,input_path,input_sha256,output_path,output_size_bytes,output_sha256,marker_path,validation_path,reused
30,14,117500,250,6645,7155,16108567744.723791,10501361269.793297,5607206474.930493,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0014.csv.gz,4b83602406f95d67090821bf9b7f3d8c740d1c7617f6b7a33d1c0358b5983d14,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0014.csv.gz,25015538,5ad1f9059b6066c5cfb03271b567d325368dee3ac7048a3fda4783db2f144d86,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0014.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0014_validation.csv,True
31,37,117500,250,6715,10579,2978015626.873354,1578063137.5448973,1399952489.3284557,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0037.csv.gz,34ef5ef5fc2d293f56310bd5748342fbba9c97cd54614d311af1a8d5fe75d6fd,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0037.csv.gz,20772591,d79d47eee4c309cac448c9cb8a3c86df626227168ec750586646c837f45997ff,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0037.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0037_validation.csv,True
32,15,117500,250,7157,7656,14737049496.363007,9579206506.97592,5157842989.387085,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0015.csv.gz,d218463a2351eef7d4a6462cf15951619820b21fe22a93307ca62558d31129a3,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0015.csv.gz,24571840,946810ab40f773ff3fed62b2cd43bfac77e83e3a32200693ea282f374e9ef9bc,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0015.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0015_validation.csv,True
33,38,117500,250,7297,10515,3009882957.3886414,1477678769.4878006,1532204187.900841,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0038.csv.gz,44e2d387877c070fd862016672a2255d84587b877e741c58fa67bc9f0e3fc974,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0038.csv.gz,20944223,aac67623f5aa3bcbc5643314add20a5b1cd177c5277938f97e1bd77de5e0a714,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0038.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0038_validation.csv,True
34,16,117500,250,7657,8199,14699910243.975445,9486399119.361372,5213511124.614073,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0016.csv.gz,82990aa25adea07ea8ea942b6fa6818f190acf98874e0c64e397082ef1a9a72f,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0016.csv.gz,24650585,84d3bdb4638fcdfb5926e93b5301829e0a8eabfebef2ed734a8f256e9eff49b7,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0016.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0016_validation.csv,True
35,39,117500,250,7921,10626,2903462005.584304,1490970116.538444,1412491889.04586,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0039.csv.gz,aadfef4cd0c94c008b83e4d24ae943e6b999d4042504184799e878793474bde8,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0039.csv.gz,20759588,4b92d3950121055f0ee3b1230b2328a4084b39175535686220c8c77d617ab286,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0039.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0039_validation.csv,True
36,17,117500,250,8200,8716,15571694492.968338,10200376165.657711,5371318327.310625,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0017.csv.gz,daf08dcbb781b2a6bf5bda920f9d431c65a7e2699820bffc94fbfd949c70b6e9,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0017.csv.gz,24798734,4d17b1dd4283d680324adb54c068d638c9ba7ef73cefbd7bcb0966e25a505c7c,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0017.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0017_validation.csv,True
37,40,117500,250,8558,10597,3914150491.7502685,2197498008.161501,1716652483.588768,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0040.csv.gz,b1f4ec2dfb56dd9df602d9a00cc2b793cbe191a06509e3cd2498d6f6cc18c5f0,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0040.csv.gz,21102644,341d535ee323673e9672ae42dafdf23ffd95d02ebd0cd47354f8592284907f79,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0040.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0040_validation.csv,True
38,18,117500,250,8717,9233,15595896509.615868,10277036473.76212,5318860035.853749,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0018.csv.gz,07d35085de0c4c73ea80b5444f6df8b605bb8aad6bc0c705fcc1fbec4dfdc5c5,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0018.csv.gz,24720669,e09cedcfd5c7d6a2291a69285d9df995f37a10eded6bb9a84e7e3355ee458030,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0018.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0018_validation.csv,True
39,19,117500,250,9234,9743,16849508276.05026,11211707485.95195,5637800790.09831,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0019.csv.gz,e2d8ce3bffe00486a8f45a9c7e2227106bc9c3cbf0702c35d36ef096aaa08fbf,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0019.csv.gz,25058996,859103542e17f709c6aafa468166d95317fa825f19a709dbd58ac9e8c2bf1658,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0019.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0019_validation.csv,True
40,41,117500,250,9370,10470,3456715240.3464823,1840337484.530151,1616377755.8163314,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0041.csv.gz,528631028fbb667c97c8a1ed95bc5547f1c28d9225d1b0a95f7d028ca52cd463,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0041.csv.gz,20976373,175d0c075cc09561b982f06158126d867085b8416c7dda06973b17b2bdbf1ca7,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0041.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0041_validation.csv,True
41,20,117500,250,9744,10278,13843186348.22967,8803988445.9781,5039197902.251569,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0020.csv.gz,79e11b0aafaac331926a7fc90fa08eb7a152282bc95fc6a40557c979301fd5ef,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0020.csv.gz,24493188,ced42351ff6870a987098049614ce1a13d6cfcd20244c05c08a22817af10373b,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0020.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0020_validation.csv,True
42,42,61100,130,10160,10629,2296181935.8729568,1302637270.3366942,993544665.5362629,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0042.csv.gz,a5d6aec310bbaa6b39173078342dff9edba29c73f13207f9b6ef2d389b1dd119,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0042.csv.gz,11072062,cb05103d37f0091a395d5ae19bd4f4bceedff31cf9b82c102156780888320df3,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0042.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0042_validation.csv,True
