chunk_id,rows,occurrences,minimum_occurrence_ordinal,maximum_occurrence_ordinal,sampled_loss_sum_2022_usd,analytical_expected_loss_sum_2022_usd,input_cell4_path,input_cell4_sha256,output_path,output_size_bytes,output_sha256,marker_path,validation_path,reused
0015,117500,250,7157,7656,1287142237.9791691,1296606185.8435147,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0015.csv.gz,61b4c86e6c91781a6558a6cd5551b1eb2cb548418e7c5d18d124d42288159282,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0015.csv.gz,15082386,46eeced000dfa903bb9fe4b27f57d64262fa14f782f2c390c4fb0410e2e3c73f,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0015.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0015_validation.csv,False
0016,117500,250,7657,8199,1273249685.0141032,1284685283.81394,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0016.csv.gz,5eeb34cb749965dfba5ad7c45fdf3edcaebaef2dad2bb4af35657d21acd35bea,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0016.csv.gz,15078289,1a18f9c6fdc2d59f48561d44c64263ad932bac260a818c6e5a57483252266f54,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0016.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0016_validation.csv,False
0017,117500,250,8200,8716,1354188625.331573,1375221699.7599192,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0017.csv.gz,8620115bb5cc9711710f83c078d445a4b5c7a50b235afc3117b8330cfc338c8b,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0017.csv.gz,15087992,43e60b0f83e091d86dce45b28c1fbc24cedcdae60c917e2d700025a741eb4efa,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0017.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0017_validation.csv,False
0018,117500,250,8717,9233,1391225094.27921,1384282200.9478972,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0018.csv.gz,b09d05d732bfa9f9d90e7feb01192b6a37b9a3c72abe93a69c8bbe98884d0644,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0018.csv.gz,15089305,f2d0addca21ee234211f07e84ddfea4cf13f425af696b6c28174e2bb209251a4,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0018.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0018_validation.csv,False
0019,117500,250,9234,9743,1529704187.840134,1489348267.5744996,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0019.csv.gz,c221a963cc8d763a3183d6cc48222772ea816e2dccecd311ea336c7034c6602a,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0019.csv.gz,15102926,0e36a5baa3315afc830b36320a7d6091bb5e435e0c0719ae578bcd8b9d67200d,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0019.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0019_validation.csv,False
0020,117500,250,9744,10278,1206553284.613888,1201380240.6516647,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0020.csv.gz,9ca304141c66cdb9ec4a4c0ba0e62b01cf508e7ed20d4684041c3cb6489fd22c,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0020.csv.gz,15075132,f9c8fe81126512f85de7ebac9d95738d2a6053933f4cc2761c4a431bca198a09,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0020.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0020_validation.csv,False
0021,117500,250,416,10628,1017025749.1172941,1022581927.0643048,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0021.csv.gz,1e304170d0f29b14431adf808db937d5b09cec8a6b05ebbc55de7bdb6f46675c,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0021.csv.gz,15040440,4be247df7f3774ef67a91f69328d914341a785bf9bc244a1cffaabf5613177d3,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0021.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0021_validation.csv,False
0022,117500,250,600,2686,379714078.45182484,378440261.3390425,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0022.csv.gz,e903d0d2f162c80e08626db326a45e0820f06a96581b20f8dc80c69bfe20b1da,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0022.csv.gz,14945567,f23d7996974380c113415a7a088465243309f20e76fd1c1f1976285caee62d8d,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0022.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0022_validation.csv,False
0023,117500,250,2711,8580,626984518.713574,605745309.7734447,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0023.csv.gz,9f8e80d6003cf9b2b5bb436582a46a3d75e68823b472e61782f024d7181ac8b5,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0023.csv.gz,14983944,d9720d53eba74136f8b6896de0ed7fa071585ec761d217b38d165fda9cdec961,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0023.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0023_validation.csv,False
0024,117500,250,918,10610,439184029.8587994,427084981.19366896,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0024.csv.gz,1fa67efb7c54ac11d2c755964416f935d97d17ea40046b6cd1c967ffa16b659b,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0024.csv.gz,14954128,1addeaacf4c6c0d013b11cce27cfa3ef04589f6cf7b60c6de4e38bed76e94c7d,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0024.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0024_validation.csv,False
