damage_state,damage_state_index,sampled_building_event_rows,sampled_proportion,analytical_expected_building_event_rows,analytical_expected_proportion,sampled_minus_expected_proportion
None,0,3290326,0.6585788915353976,3290646.46048336,0.6586430336629291,-6.414212753147464e-05
Slight,1,867776,0.17369067872940894,867391.0611234729,0.17361363085676285,7.704787264609103e-05
Moderate,2,644196,0.12893977302295792,644618.9915348202,0.12902443736811117,-8.466434515325139e-05
Extensive,3,141613,0.028344708872920878,141151.75460705525,0.028252387783882477,9.232108903840103e-05
Complete,4,52189,0.010445947839314665,52291.73225129198,0.010466510328314482,-2.0562488999816345e-05
