chunk_id,rows,occurrences,minimum_occurrence_ordinal,maximum_occurrence_ordinal,sampled_total_loss_sum_2022_usd,analytical_expected_total_loss_sum_2022_usd,input_cell5_path,input_cell5_sha256,input_cell10_path,input_cell10_sha256,output_path,output_size_bytes,output_sha256,marker_path,validation_path,reused
0000,117500,250,0,249,9792871665.098808,9744886067.490398,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0000.csv.gz,58df87f7f0547ad6e3bcb098cb1aa86950816018e35046030ca503f7bbf1b306,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0000.csv.gz,87fb92494c5e32dae053413c0356a614eef4d2aeee37ce766f17295c36b83fb9,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0000.csv.gz,18307634,099418130b5135b9de06da0e0e5967386c54a7efffd37c6eb642b9e2049c8e06,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\work\markers\total_ground_up_loss_chunk_0000.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\work\chunk_validations\total_ground_up_loss_chunk_0000_validation.csv,True
0001,117500,250,250,574,11384762032.921413,11333922159.372166,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0001.csv.gz,22a38330bfdfdaaf96fa33397311a69e3d63672eee1071d7dc238257a6fa2cda,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0001.csv.gz,2629844694bd9d3a693c1365011ef60450d21a5a49b39382293ab62d8ecabd79,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0001.csv.gz,18477407,49055f0a7b631f8fdbf638b7b69eddff0188972bb01934d31a940174611f122a,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\work\markers\total_ground_up_loss_chunk_0001.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\work\chunk_validations\total_ground_up_loss_chunk_0001_validation.csv,True
0021,117500,250,416,10628,11699554166.643036,11700295711.719646,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0021.csv.gz,4be247df7f3774ef67a91f69328d914341a785bf9bc244a1cffaabf5613177d3,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0021.csv.gz,43ce3dbd4173d856436f8b6dc9145da4c1e441ed76d6f9fe2ec8cb0342765bc6,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0021.csv.gz,18595967,28c38b7258200a998885861a38eea90a65178d025ab357a83fb37eff7f3ac389,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\work\markers\total_ground_up_loss_chunk_0021.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\work\chunk_validations\total_ground_up_loss_chunk_0021_validation.csv,True
0002,117500,250,576,1131,15291718975.394766,15322848824.591118,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0002.csv.gz,0accc5ebb43077a106bafe1b5673d06583ef83fc7d1988a420293e3bf3772fb5,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0002.csv.gz,02932b4edeb565f6aa4710b137dd9e7051ad7e00a11d612b05793fab1fbe6aa2,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0002.csv.gz,19145580,5fe84a3ed2629f5ceee7d9f00e2092fb1d80147ca77c6d06f33ff0737907a3e4,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\work\markers\total_ground_up_loss_chunk_0002.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\work\chunk_validations\total_ground_up_loss_chunk_0002_validation.csv,True
0022,117500,250,600,2686,4447572316.970486,4499641977.256105,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0022.csv.gz,f23d7996974380c113415a7a088465243309f20e76fd1c1f1976285caee62d8d,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0022.csv.gz,c9841760bf59f501d14883083fef8549ad0ff610866f5599fd366cf6a0d9f791,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0022.csv.gz,17608212,0e352cf2c0be270ef8f6a2d8d5377254e9eebc3d90c6ae5304bf5e1c036e1549,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\work\markers\total_ground_up_loss_chunk_0022.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\work\chunk_validations\total_ground_up_loss_chunk_0022_validation.csv,True
0024,117500,250,918,10610,5101615324.269068,5054891670.763199,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0024.csv.gz,1addeaacf4c6c0d013b11cce27cfa3ef04589f6cf7b60c6de4e38bed76e94c7d,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0024.csv.gz,4de77717579c2c4818658a58f6137a5c5e29d7666cbd38c76fe95bb0206c2b11,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0024.csv.gz,17717499,40e56269e549382ec7e61866c86ca5bf703c4942f01593ab51b8a51e78deebd6,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\work\markers\total_ground_up_loss_chunk_0024.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\work\chunk_validations\total_ground_up_loss_chunk_0024_validation.csv,True
0003,117500,250,1134,1690,14869162080.165377,14757429054.15163,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0003.csv.gz,5d824997ee109026e5fd20bdd1f6a44bc7b39919ea41829babd62917851ae00a,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0003.csv.gz,cc7aff82bafcb94c6693b038ab69dae3985137c40209087ff32d577923725fe9,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0003.csv.gz,19001200,6f34d31f131ba8d6476704411bdc59a373fc15172c232e0afbfe768c03a21266,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\work\markers\total_ground_up_loss_chunk_0003.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\work\chunk_validations\total_ground_up_loss_chunk_0003_validation.csv,True
0025,117500,250,1245,10617,3612529577.4190674,3622241956.9156466,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0025.csv.gz,dc6c1f8e1b23839b9e472d61d30222a7b3c17e95c9dda4a53b9c043d52597c1f,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0025.csv.gz,a8e0cd9c345c84499c5bc876e7bdf9df127f3b3dff7db7c9fde061d1d503b4e9,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0025.csv.gz,17402798,9d84951de004130ee591b50350a0866fc196a2ecc2cb51194a908c5085373f7b,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\work\markers\total_ground_up_loss_chunk_0025.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\work\chunk_validations\total_ground_up_loss_chunk_0025_validation.csv,True
0026,117500,250,1441,1977,2884027207.060216,2917425228.0207005,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0026.csv.gz,778d083389589859fa49e5a6c3571c4e25c9e5b6fd9b96d860b0eab5b0cb29e1,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0026.csv.gz,bbca85c61d3966db5924ee0ee541ab814a13e8a946f4604e6b19a5531cdb0e0e,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0026.csv.gz,17294822,552ff475fabebee9a00e8829373fa62f3b87173c3cad49a4f0c9e1442ebdc077,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\work\markers\total_ground_up_loss_chunk_0026.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\work\chunk_validations\total_ground_up_loss_chunk_0026_validation.csv,True
0004,117500,250,1691,2180,14838730205.820593,14950749499.190195,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0004.csv.gz,83591ba434eefe9541570de3aa6e35352c1d7d51e2d2816750dfd230fd7730ec,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0004.csv.gz,758c7d2f9d612353f93580b64c756427cdf3e1bc9e72540cf3fdfd84df43cbe6,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0004.csv.gz,19063913,9b618ce16d8af17ce56f33fc8aa4b2707c1257167a795235dbacfd306fdb1d59,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\work\markers\total_ground_up_loss_chunk_0004.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\work\chunk_validations\total_ground_up_loss_chunk_0004_validation.csv,True
