occ_type,buildings,total_floor_area_sqft,replacement_cost_per_sqft_2022_usd,total_replacement_value_2022_usd,minimum_building_replacement_value_2022_usd,maximum_building_replacement_value_2022_usd
COM1,129,691753.345888,133.61,92425164.5440957,66628.98125073001,8557319.670000002
COM4,258,881232.320602,204.43,180150323.30066687,44770.17,13539796.393692
COM5,26,83341.914093,303.88,25325940.85458084,231194.41101,3124627.8672
COM6,4,36610.38254,392.76,14379093.846410401,942624.0,5691317.137272
COM7,17,201007.882106,279.38,56157582.10277428,98204.21899096,20862701.5
IND6,36,116619.916228,135.47,15798500.05140716,31994.10731614,1383013.23
