chunk_id,rows,occurrences,minimum_occurrence_ordinal,maximum_occurrence_ordinal,output_path,output_size_bytes,output_sha256,marker_path,validation_path,reused
0000,117500,250,0,249,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0000.csv.gz,10576544,60a1100131d434a7e08bd58d286998f5bc280de2b685a3b67af95c41f53310ab,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\markers\structural_damage_chunk_0000.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\chunk_validations\structural_damage_chunk_0000_validation.csv,False
0001,117500,250,250,574,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0001.csv.gz,10563094,00ac110c01912df8969d467edbfb1c5af2d3d6571ad93451d6b7d6b1337a50f3,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\markers\structural_damage_chunk_0001.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\chunk_validations\structural_damage_chunk_0001_validation.csv,False
0002,117500,250,576,1131,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0002.csv.gz,10525763,ccc52655005b28eef8870922574295ac354c09522868d0c833c4d88c1a90d8a3,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\markers\structural_damage_chunk_0002.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\chunk_validations\structural_damage_chunk_0002_validation.csv,False
0003,117500,250,1134,1690,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0003.csv.gz,10544032,8483408741a09360fd4115843c263c516357965b184065b896153df41aa3aaa1,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\markers\structural_damage_chunk_0003.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\chunk_validations\structural_damage_chunk_0003_validation.csv,False
0004,117500,250,1691,2180,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0004.csv.gz,10536791,d71a61bb3c88379b4335682ea2c90366f5a74078841e8ebda04030290fc26188,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\markers\structural_damage_chunk_0004.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\chunk_validations\structural_damage_chunk_0004_validation.csv,False
0005,117500,250,2181,2666,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0005.csv.gz,10550994,211834df006bb884ac3c252046838992a5fe4204ea4176864b4499273cb2ed02,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\markers\structural_damage_chunk_0005.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\chunk_validations\structural_damage_chunk_0005_validation.csv,False
0006,117500,250,2669,3144,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0006.csv.gz,10528330,344e26bd1769b8e949cc1fd1b6bbf5627836a8b4e4f310db2bbc817e43a91cd5,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\markers\structural_damage_chunk_0006.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\chunk_validations\structural_damage_chunk_0006_validation.csv,False
0007,117500,250,3148,3615,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0007.csv.gz,10541181,ec688a63fd82cc966d1f6a651c176a3815c6b6c8c97b45604366a4fd7e3e2d87,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\markers\structural_damage_chunk_0007.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\chunk_validations\structural_damage_chunk_0007_validation.csv,False
0008,117500,250,3616,4129,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0008.csv.gz,10533772,64ab272b2dd66cc51a653d83ad75f8030219b0ea430151f6c3f2284b8d3ff054,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\markers\structural_damage_chunk_0008.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\chunk_validations\structural_damage_chunk_0008_validation.csv,False
0009,117500,250,4130,4639,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0009.csv.gz,10529567,f6590a2636652bb9135f998382afa85e3863c8a9d806e67278c140e0d6581ba6,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\markers\structural_damage_chunk_0009.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\chunk_validations\structural_damage_chunk_0009_validation.csv,False
0010,117500,250,4640,5138,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0010.csv.gz,10522014,e6e509a20a6c0a5ca4ec62543641ba0435b859af7587d10ecd354527d232a30b,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\markers\structural_damage_chunk_0010.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\chunk_validations\structural_damage_chunk_0010_validation.csv,False
0011,117500,250,5140,5629,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0011.csv.gz,10544038,a70a36653ee743a13c3664a9cdfcc1d8738deefb60a1002405f904dfe16b051d,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\markers\structural_damage_chunk_0011.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\chunk_validations\structural_damage_chunk_0011_validation.csv,False
0012,117500,250,5630,6157,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0012.csv.gz,10556646,38fe66c92a8927f0edba528e9a6b8110b632e49477e0541e41c050f4c719e3bf,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\markers\structural_damage_chunk_0012.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_4_work\chunk_validations\structural_damage_chunk_0012_validation.csv,False
