occ_type,sampled_structural_loss_2022_usd,analytical_expected_structural_loss_2022_usd,sampled_minus_expected_2022_usd,relative_difference
COM1,12479455428.858622,12452864997.159172,26590431.69944954,0.0021352862739229504
COM4,14913408330.95384,14957587501.389082,-44179170.4352417,-0.002953629415916094
COM5,1621816448.4656727,1627045871.2575881,-5229422.791915417,-0.003214059839550469
COM6,753146678.3638865,750821856.974485,2324821.389401436,0.003096368822785136
COM7,3308830592.465321,3313757401.188451,-4926808.723129749,-0.0014867741136882233
IND6,1175277325.487661,1174017086.688341,1260238.7993199825,0.001073441616488611
