occ_type,buildings,total_replacement_value_2022_usd,nsd_ratio_none,nsd_ratio_slight,nsd_ratio_moderate,nsd_ratio_extensive,nsd_ratio_complete,nsa_ratio_none,nsa_ratio_slight,nsa_ratio_moderate,nsa_ratio_extensive,nsa_ratio_complete
COM1,129,92425164.5440957,0.0,0.006,0.027000000000000003,0.138,0.275,0.0,0.008,0.044000000000000004,0.129,0.431
COM4,258,180150323.30066687,0.0,0.006999999999999999,0.033,0.16399999999999998,0.32899999999999996,0.0,0.009000000000000001,0.048,0.14400000000000002,0.479
COM5,26,25325940.854580842,0.0,0.006999999999999999,0.034,0.172,0.345,0.0,0.01,0.052000000000000005,0.155,0.517
COM6,4,14379093.846410401,0.0,0.008,0.035,0.174,0.34700000000000003,0.0,0.01,0.051,0.154,0.513
COM7,17,56157582.10277428,0.0,0.006999999999999999,0.036000000000000004,0.17800000000000002,0.344,0.0,0.01,0.052000000000000005,0.153,0.512
IND6,36,15798500.05140716,0.0,0.002,0.012,0.059000000000000004,0.11800000000000001,0.0,0.013999999999999999,0.07200000000000001,0.218,0.725
