case_name,case_prefix,catalog_years,occurrences,portfolio_replacement_value_2022_usd,ground_up_loss_total_2022_usd,ground_up_aal_2022_usd,ground_up_annual_standard_deviation_2022_usd,maximum_ground_up_aep_2022_usd,maximum_ground_up_oep_2022_usd,positive_ground_up_aep_years,positive_ground_up_oep_years,gross_insured_loss_total_2022_usd,gross_insured_aal_2022_usd,gross_insured_annual_standard_deviation_2022_usd,maximum_gross_insured_aep_2022_usd,maximum_gross_insured_oep_2022_usd,positive_gross_insured_aep_years,positive_gross_insured_oep_years,uninsured_loss_total_2022_usd,uninsured_aal_2022_usd,uninsured_annual_standard_deviation_2022_usd,maximum_uninsured_aep_2022_usd,maximum_uninsured_oep_2022_usd,positive_uninsured_aep_years,positive_uninsured_oep_years,insurance_recovery_share_of_ground_up,gross_insured_250yr_oep_pml_2022_usd,gross_insured_500yr_oep_pml_2022_usd,gross_insured_1000yr_oep_pml_2022_usd,ground_up_aal_change_vs_i0_percent,gross_insured_aal_change_vs_i0_percent,gross_insured_250yr_oep_pml_change_vs_i0_percent,gross_insured_500yr_oep_pml_change_vs_i0_percent,gross_insured_1000yr_oep_pml_change_vs_i0_percent
I0_PHASE1_INDEPENDENT,i0,2000000,10630,384236604.69993526,391844900060.57996,195922.45003028997,4190230.4657683033,282749467.8026793,282749467.8026793,9901,9901,245959119934.6569,122979.55996732845,2931863.5174367586,244325807.3326858,244325807.3326858,8171,8171,145885780125.92316,72942.89006296158,1345988.8779621557,62301773.02983486,38423660.46999352,9901,9901,0.6276950903192339,9953.902420044236,18811083.540145434,47812543.5053731,0.0,0.0,0.0,0.0,0.0
C1_ALDEA22_SUBDUCTION,c1,2000000,10630,384236604.69993526,393249409520.1751,196624.70476008757,4714469.553452016,326869443.90629697,326869443.90629697,9432,9432,246886858456.33136,123443.42922816568,3463423.9535431596,288445783.43630344,288445783.43630344,7348,7348,146362551063.84393,73181.27553192197,1413065.9951133984,74803193.52464768,38423660.46999352,9432,9432,0.6278124072902522,0.0,9574709.384464605,42620231.05059524,0.35843504901507117,0.37719216181979487,-100.0,-49.10070244475359,-10.859728586065199
C2_GODA_ATKINSON09,c2,2000000,10630,384236604.69993526,393036834685.67487,196518.41734283743,4715564.513710913,326030263.3856597,326030263.3856597,9453,9453,246671354833.79694,123335.67741689847,3464107.252358269,287606602.9156662,287606602.9156662,7343,7343,146365479851.87793,73182.73992593896,1413710.402807409,74928362.04932778,38423660.46999352,9453,9453,0.6276036571255937,0.0,9516466.390586872,42644656.401946254,0.30418531028748585,0.28957450300248766,-100.0,-49.410323066837556,-10.808642930376811
