case_name,case_prefix,loss_basis,curve_type,return_period_years,order_statistic_rank,tail_support_sufficient,pml_2022_usd
I0_PHASE1_INDEPENDENT,i0,uninsured,aep,250,8000,True,761990.9769407854
I0_PHASE1_INDEPENDENT,i0,uninsured,aep,500,4000,True,19217738.872122243
I0_PHASE1_INDEPENDENT,i0,uninsured,aep,1000,2000,True,27745451.866992548
I0_PHASE1_INDEPENDENT,i0,uninsured,aep,2000,1000,True,31728186.34569732
I0_PHASE1_INDEPENDENT,i0,uninsured,aep,2500,800,True,32522662.49350639
I0_PHASE1_INDEPENDENT,i0,uninsured,aep,5000,400,True,34542689.769851804
I0_PHASE1_INDEPENDENT,i0,uninsured,aep,10000,200,True,35946243.048072875
I0_PHASE1_INDEPENDENT,i0,uninsured,aep,20000,100,True,36759769.86249754
I0_PHASE1_INDEPENDENT,i0,uninsured,aep,50000,40,True,37400500.53619837
I0_PHASE1_INDEPENDENT,i0,uninsured,aep,100000,20,True,38017802.97051677
I0_PHASE1_INDEPENDENT,i0,uninsured,aep,200000,10,False,38880488.07092508
I0_PHASE1_INDEPENDENT,i0,uninsured,aep,500000,4,False,56262367.83535959
I0_PHASE1_INDEPENDENT,i0,uninsured,aep,1000000,2,False,60752310.95539357
I0_PHASE1_INDEPENDENT,i0,uninsured,aep,2000000,1,False,62301773.02983486
I0_PHASE1_INDEPENDENT,i0,uninsured,oep,50,40000,True,0.0
I0_PHASE1_INDEPENDENT,i0,uninsured,oep,100,20000,True,0.0
I0_PHASE1_INDEPENDENT,i0,uninsured,oep,200,10000,True,0.0
I0_PHASE1_INDEPENDENT,i0,uninsured,oep,250,8000,True,761828.1025169501
I0_PHASE1_INDEPENDENT,i0,uninsured,oep,500,4000,True,19217738.872122243
I0_PHASE1_INDEPENDENT,i0,uninsured,oep,1000,2000,True,27738629.93340104
I0_PHASE1_INDEPENDENT,i0,uninsured,oep,2000,1000,True,31697875.33489711
I0_PHASE1_INDEPENDENT,i0,uninsured,oep,2500,800,True,32496338.920049068
I0_PHASE1_INDEPENDENT,i0,uninsured,oep,5000,400,True,34493030.9166549
I0_PHASE1_INDEPENDENT,i0,uninsured,oep,10000,200,True,35911988.62199889
I0_PHASE1_INDEPENDENT,i0,uninsured,oep,20000,100,True,36654818.70766828
I0_PHASE1_INDEPENDENT,i0,uninsured,oep,50000,40,True,37315411.789761566
I0_PHASE1_INDEPENDENT,i0,uninsured,oep,100000,20,True,37606816.113874
I0_PHASE1_INDEPENDENT,i0,uninsured,oep,200000,10,False,38017802.97051677
I0_PHASE1_INDEPENDENT,i0,uninsured,oep,500000,4,False,38071079.966387294
I0_PHASE1_INDEPENDENT,i0,uninsured,oep,1000000,2,False,38129704.115525134
I0_PHASE1_INDEPENDENT,i0,uninsured,oep,2000000,1,False,38423660.46999352
C1_ALDEA22_SUBDUCTION,c1,ground_up,aep,50,40000,True,0.0
C1_ALDEA22_SUBDUCTION,c1,ground_up,aep,100,20000,True,0.0
C1_ALDEA22_SUBDUCTION,c1,ground_up,aep,200,10000,True,0.0
C1_ALDEA22_SUBDUCTION,c1,ground_up,aep,250,8000,True,288061.4270177922
C1_ALDEA22_SUBDUCTION,c1,ground_up,aep,500,4000,True,27720002.991885792
C1_ALDEA22_SUBDUCTION,c1,ground_up,aep,1000,2000,True,72834249.54021251
C1_ALDEA22_SUBDUCTION,c1,ground_up,aep,2000,1000,True,119142674.73917235
C1_ALDEA22_SUBDUCTION,c1,ground_up,aep,2500,800,True,131029253.4443576
C1_ALDEA22_SUBDUCTION,c1,ground_up,aep,5000,400,True,169731187.33818528
C1_ALDEA22_SUBDUCTION,c1,ground_up,aep,10000,200,True,203626227.78959656
C1_ALDEA22_SUBDUCTION,c1,ground_up,aep,20000,100,True,225906808.57983723
C1_ALDEA22_SUBDUCTION,c1,ground_up,aep,50000,40,True,262374108.14597023
C1_ALDEA22_SUBDUCTION,c1,ground_up,aep,100000,20,True,284261111.5460998
C1_ALDEA22_SUBDUCTION,c1,ground_up,aep,200000,10,False,297497377.89733255
C1_ALDEA22_SUBDUCTION,c1,ground_up,aep,500000,4,False,305689243.9273162
C1_ALDEA22_SUBDUCTION,c1,ground_up,aep,1000000,2,False,318867946.1520355
