case_name,program,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit
C2_GODA_ATKINSON09,FROZEN_OCCURRENCE_XOL,retained_tvar_99_5_2022_usd,12945012.180688292,11859406.587353744,1085605.5933345482,9.1539621762540939,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STANDALONE_AGGREGATE,retained_tvar_99_5_2022_usd,12958320.934870806,11862214.990696099,1096105.9441747069,9.2403142670607181,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STACKED_OCCURRENCE_PLUS_AGGREGATE,retained_tvar_99_5_2022_usd,9091399.2907030396,9743182.9771997631,-651783.68649672344,-6.6896381605680277,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,NO_REINSURANCE,retained_tvar_tail_capital_99_5_2022_usd,24470473.088233545,24470473.088233545,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,FROZEN_OCCURRENCE_XOL,retained_tvar_tail_capital_99_5_2022_usd,11800103.624713682,11800103.624713682,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STANDALONE_AGGREGATE,retained_tvar_tail_capital_99_5_2022_usd,11802897.984635122,11802897.984635122,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_OCCURRENCE_PLUS_AGGREGATE,retained_tvar_tail_capital_99_5_2022_usd,9694462.1907222755,9694462.1907222755,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,NO_REINSURANCE,retained_tvar_tail_capital_99_5_2022_usd,24562773.794682581,24470473.088233545,92300.706449035555,0.37719216181977988,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL,retained_tvar_tail_capital_99_5_2022_usd,12891662.599452093,11800103.624713682,1091558.9747384116,9.2504185510057102,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STANDALONE_AGGREGATE,retained_tvar_tail_capital_99_5_2022_usd,12905494.563408304,11802897.984635122,1102596.5787731819,9.3417445461998359,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
