case_name,structure,design_id,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit
I0_PHASE1_INDEPENDENT,STANDALONE_ANNUAL_AGGREGATE,AGG_11,ceded_aal_2022_usd,69979.08162515705,69979.08162515705,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_11,ceded_aal_2022_usd,74865.86484688858,74865.86484688858,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STANDALONE_ANNUAL_AGGREGATE,AGG_12,ceded_aal_2022_usd,72897.102066603664,72897.102066603664,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_12,ceded_aal_2022_usd,75093.967789373681,75093.967789373681,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STANDALONE_ANNUAL_AGGREGATE,AGG_13,ceded_aal_2022_usd,21558.853757620218,21558.853757620218,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_13,ceded_aal_2022_usd,66629.201817116627,66629.201817116627,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STANDALONE_ANNUAL_AGGREGATE,AGG_14,ceded_aal_2022_usd,27835.542889592842,27835.542889592842,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_14,ceded_aal_2022_usd,67232.02214752257,67232.02214752257,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STANDALONE_ANNUAL_AGGREGATE,AGG_15,ceded_aal_2022_usd,30753.563331039481,30753.563331039481,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_15,ceded_aal_2022_usd,67460.12509000767,67460.12509000767,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
