case_name,design_id,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit
C1_ALDEA22_SUBDUCTION,OCC_09,ceded_aal_2022_usd,35387.436040818757,42108.179127824842,-6720.7430870060853,-15.960659487565106,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,OCC_10,ceded_aal_2022_usd,58654.694330750965,63676.597327266056,-5021.9029965150912,-7.8865756138083301,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,OCC_11,ceded_aal_2022_usd,68010.923613651394,69933.114068062598,-1922.190454411204,-2.7486126994722797,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,OCC_12,ceded_aal_2022_usd,73813.986876127266,72798.529234635906,1015.4576414913608,1.3948875783169379,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,OCC_13,ceded_aal_2022_usd,23267.258289932204,21568.418199441207,1698.8400904909977,7.8765168348553765,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,OCC_14,ceded_aal_2022_usd,32623.48757283263,27824.934940237752,4798.5526325948777,17.245512497697419,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,OCC_15,ceded_aal_2022_usd,38426.550835308517,30690.350106811071,7736.2007284974461,25.207274278635747,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_01,ceded_aal_2022_usd,74916.741942684632,89954.740791752542,-15037.99884906791,-16.717294404617594,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_02,ceded_aal_2022_usd,98141.029309044083,111523.15899119376,-13382.12968214968,-11.999417702296594,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_03,ceded_aal_2022_usd,107518.25721718439,117779.6757319903,-10261.418514805904,-8.7123847565652497,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_04,ceded_aal_2022_usd,113342.32346360644,120645.09089856363,-7302.7674349571898,-6.0530995339853773,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_05,ceded_aal_2022_usd,74880.392735019923,89914.229290076502,-15033.83655505658,-16.720197318886218,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_06,ceded_aal_2022_usd,98104.680101379359,111482.64748951771,-13377.96738813835,-12.000044571417474,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_07,ceded_aal_2022_usd,107481.90800951966,117739.16423031427,-10257.256220794618,-8.7118473176266065,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_08,ceded_aal_2022_usd,113305.97425594172,120604.5793968876,-7298.6051409458742,-6.0516816006857423,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_09,ceded_aal_2022_usd,35379.856641007224,42108.179127824842,-6728.3224868176185,-15.978659315552264,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_10,ceded_aal_2022_usd,58604.144007366682,63676.597327266056,-5072.453319899374,-7.9659616449501618,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_11,ceded_aal_2022_usd,67981.37191550697,69933.114068062598,-1951.7421525556274,-2.7908697883181479,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_12,ceded_aal_2022_usd,73805.438161929051,72798.529234635906,1006.9089272931451,1.3831446017924225,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
