case_name,program,ceded_price_multiplier,expense_ratio,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit
I0_PHASE1_INDEPENDENT,STANDALONE_AGGREGATE,1,0.40000000000000002,break_even_required_earned_premium_2022_usd,204965.93327888075,204965.93327888075,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STANDALONE_AGGREGATE,1.25,0.20000000000000001,break_even_required_earned_premium_2022_usd,173618.99805489572,173618.99805489572,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STANDALONE_AGGREGATE,1.25,0.29999999999999999,break_even_required_earned_premium_2022_usd,198421.71206273802,198421.71206273802,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STANDALONE_AGGREGATE,1.25,0.40000000000000002,break_even_required_earned_premium_2022_usd,231491.99740652766,231491.99740652766,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STANDALONE_AGGREGATE,1.5,0.20000000000000001,break_even_required_earned_premium_2022_usd,193513.54615063092,193513.54615063092,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STANDALONE_AGGREGATE,1.5,0.29999999999999999,break_even_required_earned_premium_2022_usd,221158.33845786395,221158.33845786395,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STANDALONE_AGGREGATE,1.5,0.40000000000000002,break_even_required_earned_premium_2022_usd,258018.0615341746,258018.0615341746,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STANDALONE_AGGREGATE,2,0.20000000000000001,break_even_required_earned_premium_2022_usd,233302.64234210126,233302.64234210126,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STANDALONE_AGGREGATE,2,0.29999999999999999,break_even_required_earned_premium_2022_usd,266631.59124811576,266631.59124811576,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STANDALONE_AGGREGATE,2,0.40000000000000002,break_even_required_earned_premium_2022_usd,311070.18978946836,311070.18978946836,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
