notebook,path,status,hash_mode,expected_sha256,actual_raw_sha256
9,data/processed/phase_2/notebook_9_correlated_ground_motion/paired_ground_motion_fields.csv.gz,PASS,raw,9640e9b524d5f0ee0d5d447c95867b867305a996646122b9fc778d2168d278ac,9640e9b524d5f0ee0d5d447c95867b867305a996646122b9fc778d2168d278ac
10,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_final_handoff.json,PASS,raw,f9bb75c8e596ebdd21b2e4d5ca39c472074d4e79e189c5959c836f3c386f1fc4,f9bb75c8e596ebdd21b2e4d5ca39c472074d4e79e189c5959c836f3c386f1fc4
10,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_input_validation.csv,PASS,raw,05f10296ac590a2fd9716d0a0355d73344c628cd544de001f7468a08dbbf132f,05f10296ac590a2fd9716d0a0355d73344c628cd544de001f7468a08dbbf132f
10,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_control_validation.csv,PASS,raw,5b0d6e721529e1ebd591b78dbe6b4270329d0473b921db1eda048aaf95351a06,5b0d6e721529e1ebd591b78dbe6b4270329d0473b921db1eda048aaf95351a06
10,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_model_specification.json,PASS,raw,e1b1330c899be1d15775e8bcc48346db171aff8293e182a849cb540f3c839020,e1b1330c899be1d15775e8bcc48346db171aff8293e182a849cb540f3c839020
10,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_chunk_manifest.csv,PASS,raw,8506873f231ab094413737c06a91f330cfebf2faeb8812912f23259be04ad6c0,8506873f231ab094413737c06a91f330cfebf2faeb8812912f23259be04ad6c0
10,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_case_summary.csv,PASS,raw,f8dd1117e5ed5bfa8be374c8e34d15fcc206410d6e47c15eb5e7fc88a651293e,f8dd1117e5ed5bfa8be374c8e34d15fcc206410d6e47c15eb5e7fc88a651293e
10,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_damage_state_summary.csv,PASS,raw,43f8a5c34b9cc8f7ae6dfde1642cec4a0c59a8914b22213fef351a5d4bc5f2a1,43f8a5c34b9cc8f7ae6dfde1642cec4a0c59a8914b22213fef351a5d4bc5f2a1
10,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,PASS,raw,ad8df0cbe8b10725dca36d0cbc7c24ed842eafc27ba9188c8fa27c65df908537,ad8df0cbe8b10725dca36d0cbc7c24ed842eafc27ba9188c8fa27c65df908537
10,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_final_validation.csv,PASS,raw,2a2ad99a4d2eb8dfa4de639ac730ab5041683ab5698032ccf958292fe13158de,2a2ad99a4d2eb8dfa4de639ac730ab5041683ab5698032ccf958292fe13158de
10,data/processed/phase_2/notebook_10_correlated_damage_loss/paired_damage_and_policy_loss.csv.gz,PASS,raw,3cb8935c3240927d45c2ddb724c9e7efaf21d1b0ac908c3048eba133f0a6c228,3cb8935c3240927d45c2ddb724c9e7efaf21d1b0ac908c3048eba133f0a6c228
10,data/processed/phase_2/notebook_10_correlated_damage_loss/paired_event_loss_summary.csv.gz,PASS,raw,456c029660cfeb8d505706ba5796879d68a55deee235e30c927ceb47450b309d,456c029660cfeb8d505706ba5796879d68a55deee235e30c927ceb47450b309d
