case_name,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit,program,target_kind,target_parameter,risk_measure,confidence
I0_PHASE1_INDEPENDENT,retained_aal_2022_usd,59302.962640062397,59302.962640062397,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,FROZEN_OCCURRENCE_XOL,,,,
I0_PHASE1_INDEPENDENT,retained_aal_2022_usd,59317.006060975858,59317.006060975858,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STANDALONE_AGGREGATE,,,,
I0_PHASE1_INDEPENDENT,retained_aal_2022_usd,48720.786477487418,48720.786477487418,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STACKED_OCCURRENCE_PLUS_AGGREGATE,,,,
C1_ALDEA22_SUBDUCTION,retained_aal_2022_usd,123443.42922816567,122979.55996732846,463.86926083720755,0.37719216181977072,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,NO_REINSURANCE,,,,
C1_ALDEA22_SUBDUCTION,retained_aal_2022_usd,64788.734897414703,59302.962640062397,5485.772257352306,9.2504185510056907,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,FROZEN_OCCURRENCE_XOL,,,,
C1_ALDEA22_SUBDUCTION,retained_aal_2022_usd,64858.249239646073,59317.006060975858,5541.2431786702145,9.341744546199795,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STANDALONE_AGGREGATE,,,,
C1_ALDEA22_SUBDUCTION,retained_aal_2022_usd,45556.953439895653,48720.786477487418,-3163.8330375917649,-6.4938053474438231,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STACKED_OCCURRENCE_PLUS_AGGREGATE,,,,
C2_GODA_ATKINSON09,retained_aal_2022_usd,123335.6774168985,122979.55996732846,356.11744957003975,0.28957450300248938,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,NO_REINSURANCE,,,,
C2_GODA_ATKINSON09,retained_aal_2022_usd,64731.53340953181,59302.962640062397,5428.5707694694138,9.1539621762541046,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,FROZEN_OCCURRENCE_XOL,,,,
C2_GODA_ATKINSON09,retained_aal_2022_usd,64798.083834821475,59317.006060975858,5481.0777738456163,9.2403142670607057,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STANDALONE_AGGREGATE,,,,
C2_GODA_ATKINSON09,retained_aal_2022_usd,45461.542153160553,48720.786477487418,-3259.2443243268644,-6.6896381605680251,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STACKED_OCCURRENCE_PLUS_AGGREGATE,,,,
I0_PHASE1_INDEPENDENT,retained_tvar_99_5_2022_usd,24593452.648200873,24593452.648200873,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,NO_REINSURANCE,,,,
I0_PHASE1_INDEPENDENT,retained_tvar_99_5_2022_usd,11859406.587353744,11859406.587353744,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,FROZEN_OCCURRENCE_XOL,,,,
I0_PHASE1_INDEPENDENT,retained_tvar_99_5_2022_usd,11862214.990696099,11862214.990696099,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STANDALONE_AGGREGATE,,,,
