program,case_series,baseline_series,metric_name,metric_kind,case_value_2022_usd,baseline_value_2022_usd,absolute_change_2022_usd,percent_change,bootstrap_standard_error_2022_usd,bootstrap_ci_lower_2022_usd,bootstrap_ci_upper_2022_usd,bootstrap_replicates,bootstrap_seed,bootstrap_method,source_notebook,uncertainty_scope,interval_excludes_zero,period,scope
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_500yr,pml,9574709.3844646048,18811083.540145427,-9236374.1556808222,-49.100702444753573,380861.48880656395,-9434954.5673862882,-7996411.3616219405,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_1000yr,pml,18811083.540145438,18811083.540145438,0,0,0,0,0,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,False,,
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_2500yr,pml,33274085.978361294,19364973.807202592,13909112.171158701,71.826134698851803,1525617.0573196206,10680779.823685057,16800915.713236395,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_5000yr,pml,70314061.297555134,40459312.037227139,29854749.260327995,73.789562296210704,2185655.6939184,26053314.453465927,34369091.545397587,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_10000yr,pml,103050677.94843383,60476994.030481473,42573683.917952359,70.396494734004904,2332574.948203526,37564415.217645653,47283932.11792551,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_tvar_99_5,tvar,12956451.334349602,11859406.587353809,1097044.7469957937,9.2504185510059003,162413.47765463113,804373.81092069484,1431041.9828053312,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C2_GODA_ATKINSON09,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aal,mean,64731.533409531861,59302.962640062666,5428.5707694691955,9.1539621762537049,808.70654372183924,3972.2624104815709,7078.8552041588491,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C2_GODA_ATKINSON09,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_500yr,pml,9516466.3905868717,18811083.540145427,-9294617.1495585553,-49.410323066837535,384662.27350653923,-9585447.4834102243,-8193409.498921806,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C2_GODA_ATKINSON09,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_1000yr,pml,18811083.540145438,18811083.540145438,0,0,0,0,0,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,False,,
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C2_GODA_ATKINSON09,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_2500yr,pml,34077380.568738997,19364973.807202592,14712406.761536404,75.974317900002958,1707833.9701213355,10648766.307336804,17198979.011417244,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C2_GODA_ATKINSON09,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_5000yr,pml,70550022.648452207,40459312.037227139,30090710.611225069,74.372768828936614,2109495.5248802253,26090559.9310783,34307201.409759447,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C2_GODA_ATKINSON09,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_10000yr,pml,101069413.73244525,60476994.030481473,40592419.701963782,67.120432079518523,2374362.3882151172,35984411.308815137,45212388.577053256,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C2_GODA_ATKINSON09,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_tvar_99_5,tvar,12945012.180688389,11859406.587353809,1085605.5933345798,9.1539621762543035,161725.13623074477,794373.04479188181,1415629.4778840155,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C1_ALDEA22_SUBDUCTION,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aal,mean,64858.249239646226,59317.006060976135,5541.2431786700909,9.3417445461995374,813.13513072988269,4075.8678268612794,7208.7767299763991,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C1_ALDEA22_SUBDUCTION,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_500yr,pml,9574709.3844646048,18811083.540145434,-9236374.1556808297,-49.100702444753587,380861.48880656442,-9434954.5673862919,-7996411.3616219405,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C1_ALDEA22_SUBDUCTION,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_1000yr,pml,18811083.540145438,18811083.540145438,0,0,0,0,0,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,False,,
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C1_ALDEA22_SUBDUCTION,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_2500yr,pml,33125956.982629985,18910409.741112798,14215547.241517186,75.173131815390576,1583869.5743806742,10894830.765800679,16981701.467757422,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
