case_name,case_prefix,program,loss_basis,curve_type,return_period_years,order_statistic_rank,tail_support_sufficient,pml_2022_usd
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,aep,5000,400,True,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,aep,10000,200,True,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,aep,20000,100,True,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,aep,50000,40,True,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,aep,100000,20,True,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,aep,200000,10,False,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,aep,500000,4,False,65760028.85579539
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,aep,1000000,2,False,86418634.77018583
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,aep,2000000,1,False,90413665.12193379
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,aep,50,40000,True,0.0
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,aep,100,20000,True,0.0
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,aep,200,10000,True,0.0
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,aep,250,8000,True,9953.902420044236
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,aep,500,4000,True,18811083.540145427
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,aep,1000,2000,True,18811083.54014544
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,aep,2000,1000,True,18811083.540145442
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,aep,2500,800,True,19364973.807202592
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,aep,5000,400,True,40459312.03722714
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,aep,10000,200,True,60476994.03048147
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,aep,20000,100,True,77365233.4513417
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,aep,50000,40,True,97770685.09271227
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,aep,100000,20,True,115886350.51820217
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,aep,200000,10,False,126831650.29675825
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,aep,500000,4,False,148273680.85974705
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,aep,1000000,2,False,155801252.99162036
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,aep,2000000,1,False,182487824.01776767
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,gross,oep,50,40000,True,0.0
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,gross,oep,100,20000,True,0.0
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,gross,oep,200,10000,True,0.0
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,gross,oep,250,8000,True,9953.902420044236
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,gross,oep,500,4000,True,18811083.540145434
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,gross,oep,1000,2000,True,47812543.5053731
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,gross,oep,2000,1000,True,73217140.44404599
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,gross,oep,2500,800,True,80649066.85506357
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,gross,oep,5000,400,True,102204649.01167828
