case_name,case_prefix,program,premium_multiple_of_gross_aal,expense_ratio,ceded_price_multiplier,earned_premium_2022_usd,expenses_2022_usd,retained_aal_2022_usd,expected_reinsurance_premium_2022_usd,underwriting_result_2022_usd,var99_5_economic_capital_floored_2022_usd,tvar99_5_tail_capital_2022_usd,raroc_using_var99_5_capital,raroc_using_tvar99_5_tail_capital,var_capital_informative,pricing_status
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,1.25,0.2,0.0,153724.44995916059,30744.88999183212,122979.55996732846,0.0,1.4551915228366852e-11,0.0,24470473.088233545,,5.946724109459101e-19,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,1.5,0.2,0.0,184469.3399509927,36893.86799019854,122979.55996732846,0.0,24595.911993465692,0.0,24470473.088233545,,0.0010051261332292127,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,2.0,0.2,0.0,245959.11993465692,49191.823986931384,122979.55996732846,0.0,73787.73598039708,0.0,24470473.088233545,,0.0030153783996876376,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,2.5,0.2,0.0,307448.89991832117,61489.77998366424,122979.55996732846,0.0,122979.55996732849,0.0,24470473.088233545,,0.005025630666146064,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,3.0,0.2,0.0,368938.6799019854,73787.73598039708,122979.55996732846,0.0,172171.38395425986,0.0,24470473.088233545,,0.007035882932604489,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,1.25,0.3,0.0,153724.44995916059,46117.334987748174,122979.55996732846,0.0,-15372.444995916056,0.0,24470473.088233545,,-0.0006282038332682578,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,1.5,0.3,0.0,184469.3399509927,55340.80198529781,122979.55996732846,0.0,6148.977998366419,0.0,24470473.088233545,,0.000251281533307303,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,2.0,0.3,0.0,245959.11993465692,73787.73598039708,122979.55996732846,0.0,49191.8239869314,0.0,24470473.088233545,,0.0020102522664584258,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,2.5,0.3,0.0,307448.89991832117,92234.66997549635,122979.55996732846,0.0,92234.66997549635,0.0,24470473.088233545,,0.0037692229996095475,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,3.0,0.3,0.0,368938.6799019854,110681.60397059562,122979.55996732846,0.0,135277.5159640613,0.0,24470473.088233545,,0.00552819373276067,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,1.25,0.4,0.0,153724.44995916059,61489.77998366424,122979.55996732846,0.0,-30744.88999183211,0.0,24470473.088233545,,-0.0012564076665365156,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,1.5,0.4,0.0,184469.3399509927,73787.73598039708,122979.55996732846,0.0,-12297.955996732839,0.0,24470473.088233545,,-0.000502563066614606,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,2.0,0.4,0.0,245959.11993465692,98383.64797386277,122979.55996732846,0.0,24595.911993465692,0.0,24470473.088233545,,0.0010051261332292127,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,2.5,0.4,0.0,307448.89991832117,122979.55996732847,122979.55996732846,0.0,61489.77998366424,0.0,24470473.088233545,,0.0025128153330730317,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,3.0,0.4,0.0,368938.6799019854,147575.47196079415,122979.55996732846,0.0,98383.64797386278,0.0,24470473.088233545,,0.004020504532916851,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,1.25,0.2,1.0,153724.44995916059,30744.88999183212,59302.9626400624,63676.597327266056,2.1827872842550278e-11,0.0,11800103.624713682,,1.8498034878977522e-18,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,1.5,0.2,1.0,184469.3399509927,36893.86799019854,59302.9626400624,63676.597327266056,24595.9119934657,0.0,11800103.624713682,,0.0020843810169558995,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,2.0,0.2,1.0,245959.11993465692,49191.823986931384,59302.9626400624,63676.597327266056,73787.73598039709,0.0,11800103.624713682,,0.006253143050867698,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,2.5,0.2,1.0,307448.89991832117,61489.77998366424,59302.9626400624,63676.597327266056,122979.5599673285,0.0,11800103.624713682,,0.010421905084779498,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,3.0,0.2,1.0,368938.6799019854,73787.73598039708,59302.9626400624,63676.597327266056,172171.38395425986,0.0,11800103.624713682,,0.014590667118691293,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,1.25,0.3,1.0,153724.44995916059,46117.334987748174,59302.9626400624,63676.597327266056,-15372.444995916048,0.0,11800103.624713682,,-0.001302738135597436,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,1.5,0.3,1.0,184469.3399509927,55340.80198529781,59302.9626400624,63676.597327266056,6148.977998366427,0.0,11800103.624713682,,0.000521095254238975,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,2.0,0.3,1.0,245959.11993465692,73787.73598039708,59302.9626400624,63676.597327266056,49191.823986931406,0.0,11800103.624713682,,0.0041687620339118,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,2.5,0.3,1.0,307448.89991832117,92234.66997549635,59302.9626400624,63676.597327266056,92234.66997549636,0.0,11800103.624713682,,0.007816428813584622,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,3.0,0.3,1.0,368938.6799019854,110681.60397059562,59302.9626400624,63676.597327266056,135277.5159640613,0.0,11800103.624713682,,0.011464095593257444,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,1.25,0.4,1.0,153724.44995916059,61489.77998366424,59302.9626400624,63676.597327266056,-30744.889991832104,0.0,11800103.624713682,,-0.0026054762711948728,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,1.5,0.4,1.0,184469.3399509927,73787.73598039708,59302.9626400624,63676.597327266056,-12297.955996732831,0.0,11800103.624713682,,-0.0010421905084779482,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,2.0,0.4,1.0,245959.11993465692,98383.64797386277,59302.9626400624,63676.597327266056,24595.9119934657,0.0,11800103.624713682,,0.0020843810169558995,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,2.5,0.4,1.0,307448.89991832117,122979.55996732847,59302.9626400624,63676.597327266056,61489.779983664244,0.0,11800103.624713682,,0.005210952542389748,False,assumption grid; not a central estimate
