program,case_series,baseline_series,metric_name,metric_kind,case_value_2022_usd,baseline_value_2022_usd,absolute_change_2022_usd,percent_change,bootstrap_standard_error_2022_usd,bootstrap_ci_lower_2022_usd,bootstrap_ci_upper_2022_usd,bootstrap_replicates,bootstrap_seed,bootstrap_method
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_2500yr,pml,33274085.978361294,19364973.807202592,13909112.171158701,71.8261346988518,1525617.0573196206,10680779.823685057,16800915.713236395,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_5000yr,pml,70314061.29755513,40459312.03722714,29854749.260327995,73.7895622962107,2185655.6939184,26053314.453465927,34369091.54539759,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_10000yr,pml,103050677.94843383,60476994.03048147,42573683.91795236,70.3964947340049,2332574.948203526,37564415.21764565,47283932.11792551,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_tvar_99_5,tvar,12956451.334349602,11859406.587353809,1097044.7469957937,9.2504185510059,162413.47765463113,804373.8109206948,1431041.9828053312,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C2_GODA_ATKINSON09,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aal,mean,64731.53340953186,59302.962640062666,5428.5707694691955,9.153962176253705,808.7065437218392,3972.262410481571,7078.855204158849,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C2_GODA_ATKINSON09,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_500yr,pml,9516466.390586872,18811083.540145427,-9294617.149558555,-49.410323066837535,384662.27350653923,-9585447.483410224,-8193409.498921806,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C2_GODA_ATKINSON09,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_1000yr,pml,18811083.54014544,18811083.54014544,0.0,0.0,0.0,0.0,0.0,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C2_GODA_ATKINSON09,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_2500yr,pml,34077380.568739,19364973.807202592,14712406.761536404,75.97431790000296,1707833.9701213355,10648766.307336804,17198979.011417244,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C2_GODA_ATKINSON09,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_5000yr,pml,70550022.6484522,40459312.03722714,30090710.61122507,74.37276882893661,2109495.5248802253,26090559.9310783,34307201.40975945,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C2_GODA_ATKINSON09,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_10000yr,pml,101069413.73244525,60476994.03048147,40592419.70196378,67.12043207951852,2374362.388215117,35984411.30881514,45212388.57705326,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C2_GODA_ATKINSON09,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_tvar_99_5,tvar,12945012.180688389,11859406.587353809,1085605.5933345798,9.153962176254304,161725.13623074477,794373.0447918818,1415629.4778840155,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C1_ALDEA22_SUBDUCTION,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aal,mean,64858.249239646226,59317.006060976135,5541.243178670091,9.341744546199537,813.1351307298827,4075.8678268612794,7208.776729976399,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C1_ALDEA22_SUBDUCTION,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_500yr,pml,9574709.384464605,18811083.540145434,-9236374.15568083,-49.10070244475359,380861.4888065644,-9434954.567386292,-7996411.3616219405,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C1_ALDEA22_SUBDUCTION,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_1000yr,pml,18811083.54014544,18811083.54014544,0.0,0.0,0.0,0.0,0.0,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C1_ALDEA22_SUBDUCTION,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_2500yr,pml,33125956.982629985,18910409.7411128,14215547.241517186,75.17313181539058,1583869.5743806742,10894830.76580068,16981701.467757422,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C1_ALDEA22_SUBDUCTION,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_5000yr,pml,70317555.9781473,40518464.24751161,29799091.730635688,73.54447480685491,2188007.8905678936,26085992.592613682,34394411.67794768,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C1_ALDEA22_SUBDUCTION,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_10000yr,pml,103636166.31778865,60918175.37317313,42717990.94461551,70.12355620130322,2265255.24168901,38069286.896892875,47679894.52958083,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C1_ALDEA22_SUBDUCTION,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_tvar_99_5,tvar,12970352.812648045,11862214.990696166,1108137.8219518792,9.341744546200005,162610.76506946943,815092.0561666669,1441611.1848768138,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C2_GODA_ATKINSON09,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aal,mean,64798.083834821526,59317.006060976135,5481.077773845391,9.24031426706029,810.0338726451836,4000.252199134658,7136.382784350394,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C2_GODA_ATKINSON09,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_500yr,pml,9516466.390586872,18811083.540145434,-9294617.149558563,-49.410323066837556,384662.2735065397,-9585447.483410224,-8193409.498921806,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C2_GODA_ATKINSON09,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_1000yr,pml,18811083.54014544,18811083.54014544,0.0,0.0,0.0,0.0,0.0,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C2_GODA_ATKINSON09,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_2500yr,pml,33984506.77888951,18910409.7411128,15074097.037776709,79.7132227389255,1764129.0376790792,10605380.7182539,17162882.374408115,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C2_GODA_ATKINSON09,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_5000yr,pml,70574460.47696394,40518464.24751161,30055996.229452327,74.178517837823,2135279.0560402977,26214114.574450884,34301950.89848405,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C2_GODA_ATKINSON09,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_10000yr,pml,102049570.98074915,60918175.37317313,41131395.60757601,67.5190866364807,2386942.8705903343,36424181.52919225,45586887.38053268,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C2_GODA_ATKINSON09,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_tvar_99_5,tvar,12958320.934870904,11862214.990696166,1096105.9441747386,9.240314267060935,161990.57547148972,799970.442782686,1427133.8434857659,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C1_ALDEA22_SUBDUCTION,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aal,mean,45556.9534398959,48720.786477487694,-3163.833037591794,-6.493805347443848,453.4832571075095,-4026.2358096457447,-2264.203688100612,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C1_ALDEA22_SUBDUCTION,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_500yr,pml,9574709.384464605,18811083.540145427,-9236374.155680822,-49.10070244475357,380861.48880656395,-9434954.567386288,-7996411.3616219405,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C1_ALDEA22_SUBDUCTION,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_1000yr,pml,18811083.54014544,18811083.54014544,0.0,0.0,0.0,0.0,0.0,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C1_ALDEA22_SUBDUCTION,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_2500yr,pml,18811083.540145442,18811083.540145442,0.0,0.0,0.0,0.0,0.0,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C1_ALDEA22_SUBDUCTION,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_5000yr,pml,18811083.540145442,18811083.540145442,0.0,0.0,0.0,0.0,0.0,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C1_ALDEA22_SUBDUCTION,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_10000yr,pml,41212694.633515686,18811083.540145442,22401611.093370244,119.08729789840189,2285953.5151786087,17686242.967049584,25695420.91889833,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C1_ALDEA22_SUBDUCTION,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_tvar_99_5,tvar,9110479.640015127,9743182.977199774,-632703.3371846471,-6.493805347443948,90687.58266323627,-805166.645264604,-452795.4580743084,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C2_GODA_ATKINSON09,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aal,mean,45461.54215316078,48720.786477487694,-3259.2443243269154,-6.68963816056809,453.73394681511246,-4128.369432058999,-2322.4597457588575,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C2_GODA_ATKINSON09,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_500yr,pml,9516466.390586872,18811083.540145427,-9294617.149558555,-49.410323066837535,384662.27350653923,-9585447.483410224,-8193409.498921806,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C2_GODA_ATKINSON09,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_1000yr,pml,18811083.54014544,18811083.54014544,0.0,0.0,0.0,0.0,0.0,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C2_GODA_ATKINSON09,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_2500yr,pml,18811083.540145442,18811083.540145442,0.0,0.0,0.0,0.0,0.0,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C2_GODA_ATKINSON09,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_5000yr,pml,18811083.540145442,18811083.540145442,0.0,0.0,0.0,0.0,0.0,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C2_GODA_ATKINSON09,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_10000yr,pml,39231430.41752711,18811083.540145442,20420346.877381667,108.55486784587308,2379708.039399692,16147063.393646315,24609078.99155049,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C2_GODA_ATKINSON09,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_tvar_99_5,tvar,9091399.29070304,9743182.977199774,-651783.6864967346,-6.689638160568134,90737.71559146432,-825591.327279058,-464445.5046012904,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
