case_name,case_prefix,program,ceded_price_multiplier,expense_ratio,expected_reinsurance_premium_2022_usd,break_even_required_earned_premium_2022_usd,break_even_premium_multiple_of_gross_aal,pricing_status
I0_PHASE1_INDEPENDENT,i0,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.25,0.4,92823.46686230128,235907.08889964785,1.9182625873951773,assumption grid; not a quoted price
I0_PHASE1_INDEPENDENT,i0,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.5,0.2,111388.16023476154,200136.1833903112,1.627393881092766,assumption grid; not a quoted price
I0_PHASE1_INDEPENDENT,i0,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.5,0.3,111388.16023476154,228727.06673178423,1.8598787212488752,assumption grid; not a quoted price
I0_PHASE1_INDEPENDENT,i0,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.5,0.4,111388.16023476154,266848.24452041497,2.169858508123688,assumption grid; not a quoted price
I0_PHASE1_INDEPENDENT,i0,STACKED_OCCURRENCE_PLUS_AGGREGATE,2.0,0.2,148517.54697968205,246547.91682146184,2.004787762185532,assumption grid; not a quoted price
I0_PHASE1_INDEPENDENT,i0,STACKED_OCCURRENCE_PLUS_AGGREGATE,2.0,0.3,148517.54697968205,281769.04779595643,2.2911860139263225,assumption grid; not a quoted price
I0_PHASE1_INDEPENDENT,i0,STACKED_OCCURRENCE_PLUS_AGGREGATE,2.0,0.4,148517.54697968205,328730.55576194916,2.6730503495807096,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,NO_REINSURANCE,0.0,0.2,0.0,154304.28653520707,1.2499999999999998,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,NO_REINSURANCE,0.0,0.3,0.0,176347.75604023668,1.4285714285714286,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,NO_REINSURANCE,0.0,0.4,0.0,205739.04871360946,1.6666666666666667,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,FROZEN_OCCURRENCE_XOL,1.0,0.2,58654.694330750965,154304.28653520707,1.2499999999999998,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,FROZEN_OCCURRENCE_XOL,1.0,0.3,58654.694330750965,176347.75604023668,1.4285714285714286,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,FROZEN_OCCURRENCE_XOL,1.0,0.4,58654.694330750965,205739.04871360946,1.6666666666666667,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,FROZEN_OCCURRENCE_XOL,1.25,0.2,73318.3679134387,172633.87851356674,1.3984857646370168,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,FROZEN_OCCURRENCE_XOL,1.25,0.3,73318.3679134387,197295.861158362,1.598269445299448,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,FROZEN_OCCURRENCE_XOL,1.25,0.4,73318.3679134387,230178.50468475567,1.8646476861826893,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,FROZEN_OCCURRENCE_XOL,1.5,0.2,87982.04149612645,190963.47049192642,1.546971529274034,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,FROZEN_OCCURRENCE_XOL,1.5,0.3,87982.04149612645,218243.96627648734,1.7679674620274672,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,FROZEN_OCCURRENCE_XOL,1.5,0.4,87982.04149612645,254617.9606559019,2.062628705698712,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,FROZEN_OCCURRENCE_XOL,2.0,0.2,117309.38866150193,227622.65444864577,1.843943058548068,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,FROZEN_OCCURRENCE_XOL,2.0,0.3,117309.38866150193,260140.17651273805,2.1073634954835065,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,FROZEN_OCCURRENCE_XOL,2.0,0.4,117309.38866150193,303496.8725981944,2.4585907447307576,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STANDALONE_AGGREGATE,1.0,0.2,58585.17998851959,154304.28653520707,1.2499999999999998,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STANDALONE_AGGREGATE,1.0,0.3,58585.17998851959,176347.75604023665,1.4285714285714284,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STANDALONE_AGGREGATE,1.0,0.4,58585.17998851959,205739.04871360943,1.6666666666666665,assumption grid; not a quoted price
