catalog_years,gross_aal_2022_usd,ceded_aal_2022_usd,retained_aal_2022_usd,gross_annual_standard_deviation_2022_usd,ceded_annual_standard_deviation_2022_usd,retained_annual_standard_deviation_2022_usd,maximum_gross_aep_2022_usd,maximum_ceded_aep_2022_usd,maximum_retained_aep_2022_usd,ceded_share_of_gross_aal,tail_count_99,gross_var_99_2022_usd,ceded_var_99_2022_usd,retained_var_99_2022_usd,gross_tvar_99_2022_usd,ceded_tvar_99_2022_usd,retained_tvar_99_2022_usd,gross_var_economic_capital_99_2022_usd,retained_var_economic_capital_99_2022_usd,gross_var_economic_capital_floored_99_2022_usd,retained_var_economic_capital_floored_99_2022_usd,gross_tvar_tail_capital_99_2022_usd,retained_tvar_tail_capital_99_2022_usd,var_capital_relief_99_2022_usd,tvar_capital_relief_99_2022_usd,var_capital_informative_99,tail_count_99_5,gross_var_99_5_2022_usd,ceded_var_99_5_2022_usd,retained_var_99_5_2022_usd,gross_tvar_99_5_2022_usd,ceded_tvar_99_5_2022_usd,retained_tvar_99_5_2022_usd,gross_var_economic_capital_99_5_2022_usd,retained_var_economic_capital_99_5_2022_usd,gross_var_economic_capital_floored_99_5_2022_usd,retained_var_economic_capital_floored_99_5_2022_usd,gross_tvar_tail_capital_99_5_2022_usd,retained_tvar_tail_capital_99_5_2022_usd,var_capital_relief_99_5_2022_usd,tvar_capital_relief_99_5_2022_usd,var_capital_informative_99_5,case_name,case_prefix,program,occurrence_attachment_2022_usd,occurrence_limit_2022_usd,aggregate_attachment_2022_usd,aggregate_limit_2022_usd,gross_aep_2500yr_pml_2022_usd,retained_aep_2500yr_pml_2022_usd,retained_aep_2500yr_order_statistic_rank,tvar99_5_capital_relief_per_expected_ceded_dollar,pml2500_relief_per_expected_ceded_dollar
2000000,122979.55996732846,0.0,122979.55996732846,2931863.5174367586,0.0,2931863.5174367586,244325807.3326858,0.0,244325807.3326858,0.0,20001,0.0,0.0,0.0,12297341.129676362,0.0,12297341.129676362,-122979.55996732846,-122979.55996732846,0.0,0.0,12174361.569709035,12174361.569709035,0.0,0.0,False,10001,0.0,0.0,0.0,24593452.648200873,0.0,24593452.648200873,-122979.55996732846,-122979.55996732846,0.0,0.0,24470473.088233545,24470473.088233545,0.0,0.0,False,I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,0.0,0.0,0.0,0.0,80748393.05603094,80748393.05603094,800,,
2000000,122979.55996732846,63676.597327266056,59302.9626400624,2931863.5174367586,1713997.4602907351,1357534.2604546293,244325807.3326858,90413665.12193379,182487824.01776767,0.5177819577837389,20001,0.0,0.0,0.0,12297341.129676362,6367341.365658322,5929999.764018038,-122979.55996732846,-59302.9626400624,0.0,0.0,12174361.569709035,5870696.801377976,-63676.59732726606,6303664.768331058,False,10001,0.0,0.0,0.0,24593452.648200873,12734046.060847126,11859406.587353744,-122979.55996732846,-59302.9626400624,0.0,0.0,24470473.088233545,11800103.624713682,-63676.59732726606,12670369.463519864,False,I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,18811083.54014544,61837983.314918146,0.0,0.0,80748393.05603094,19364973.807202592,800,198.98000199980007,963.9871134028738
2000000,122979.55996732846,63662.55390635259,59317.00606097586,2931863.5174367586,1712955.8990559021,1358742.0942892854,244325807.3326858,61837983.314918146,182487824.01776767,0.5176677646534561,20001,0.0,0.0,0.0,12297341.129676362,6365937.093780571,5931404.03589579,-122979.55996732846,-59317.00606097586,0.0,0.0,12174361.569709035,5872087.029834814,-63662.5539063526,6302274.53987422,False,10001,0.0,0.0,0.0,24593452.648200873,12731237.657504767,11862214.990696099,-122979.55996732846,-59317.00606097586,0.0,0.0,24470473.088233545,11802897.984635122,-63662.5539063526,12667575.103598423,False,I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,0.0,0.0,18811083.54014544,61837983.314918146,80748393.05603094,18910409.7411128,800,198.98000199980015,971.3399717812392
2000000,122979.55996732846,74258.77348984103,48720.78647748742,2931863.5174367586,2163770.914609657,944809.2002012117,244325807.3326858,131530002.94581051,120649840.7028495,0.6038302097484256,20001,0.0,0.0,0.0,12297341.129676362,7425506.0736804195,4871835.055995941,-122979.55996732846,-48720.78647748742,0.0,0.0,12174361.569709035,4823114.269518454,-74258.77348984104,7351247.300190581,False,10001,0.0,0.0,0.0,24593452.648200873,14850269.671001107,9743182.977199763,-122979.55996732846,-48720.78647748742,0.0,0.0,24470473.088233545,9694462.190722276,-74258.77348984104,14776010.89751127,False,I0_PHASE1_INDEPENDENT,i0,STACKED_OCCURRENCE_PLUS_AGGREGATE,18811083.54014544,61837983.314918146,18811083.54014544,61837983.314918146,80748393.05603094,18811083.540145442,800,198.9800019998001,834.0739633190796
2000000,123443.42922816567,0.0,123443.42922816567,3463423.9535431596,0.0,3463423.9535431596,288445783.43630344,0.0,288445783.43630344,0.0,20001,0.0,0.0,0.0,12343725.736529741,0.0,12343725.736529741,-123443.42922816567,-123443.42922816567,0.0,0.0,12220282.307301575,12220282.307301575,0.0,0.0,False,10001,0.0,0.0,0.0,24686217.223910745,0.0,24686217.223910745,-123443.42922816567,-123443.42922816567,0.0,0.0,24562773.79468258,24562773.79468258,0.0,0.0,False,C1_ALDEA22_SUBDUCTION,c1,NO_REINSURANCE,0.0,0.0,0.0,0.0,94963940.29754813,94963940.29754813,800,,
2000000,123443.42922816567,58654.694330750965,64788.7348974147,3463423.9535431596,1726864.8382421935,1920548.378587132,288445783.43630344,123675966.62983629,226607800.12138528,0.4751544468384545,20001,0.0,0.0,0.0,12343725.736529741,5865176.174266382,6478549.562263358,-123443.42922816567,-64788.7348974147,0.0,0.0,12220282.307301575,6413760.827365943,-58654.694330750965,5806521.479935632,False,10001,0.0,0.0,0.0,24686217.223910745,11729765.889561234,12956451.334349507,-123443.42922816567,-64788.7348974147,0.0,0.0,24562773.79468258,12891662.599452093,-58654.694330750965,11671111.195230488,False,C1_ALDEA22_SUBDUCTION,c1,FROZEN_OCCURRENCE_XOL,18811083.54014544,61837983.314918146,0.0,0.0,94963940.29754813,33274085.978361294,800,198.98000199980007,1051.7462416788119
2000000,123443.42922816567,58585.17998851959,64858.24923964607,3463423.9535431596,1722205.9919979197,1925185.3428766946,288445783.43630344,61837983.314918146,226607800.12138528,0.47459131972293267,20001,0.0,0.0,0.0,12343725.736529741,5858225.08759758,6485500.648932161,-123443.42922816567,-64858.24923964607,0.0,0.0,12220282.307301575,6420642.399692515,-58585.179988519594,5799639.90760906,False,10001,0.0,0.0,0.0,24686217.223910745,11715864.411262792,12970352.81264795,-123443.42922816567,-64858.24923964607,0.0,0.0,24562773.79468258,12905494.563408304,-58585.179988519594,11657279.231274277,False,C1_ALDEA22_SUBDUCTION,c1,STANDALONE_AGGREGATE,0.0,0.0,18811083.54014544,61837983.314918146,94963940.29754813,33125956.982629985,800,198.98000199980012,1055.5226309287773
2000000,123443.42922816567,77886.47578827002,45556.95343989565,3463423.9535431596,2515021.995032314,1125682.3864084908,288445783.43630344,185513949.94475442,164769816.80646715,0.6309487372090837,20001,0.0,0.0,0.0,12343725.736529741,7788258.165918704,4555467.5706110345,-123443.42922816567,-45556.95343989565,0.0,0.0,12220282.307301575,4509910.6171711385,-77886.47578827,7710371.690130437,False,10001,0.0,0.0,0.0,24686217.223910745,15575737.58389561,9110479.640015129,-123443.42922816567,-45556.95343989565,0.0,0.0,24562773.79468258,9064922.686575234,-77886.47578827,15497851.108107347,False,C1_ALDEA22_SUBDUCTION,c1,STACKED_OCCURRENCE_PLUS_AGGREGATE,18811083.54014544,61837983.314918146,18811083.54014544,61837983.314918146,94963940.29754813,18811083.540145442,800,198.98000199980004,977.7417194279006
2000000,123335.6774168985,0.0,123335.6774168985,3464107.252358269,0.0,3464107.252358269,287606602.9156662,0.0,287606602.9156662,0.0,20001,0.0,0.0,0.0,12332951.094135143,0.0,12332951.094135143,-123335.6774168985,-123335.6774168985,0.0,0.0,12209615.416718245,12209615.416718245,0.0,0.0,False,10001,0.0,0.0,0.0,24664669.01647805,0.0,24664669.01647805,-123335.6774168985,-123335.6774168985,0.0,0.0,24541333.339061152,24541333.339061152,0.0,0.0,False,C2_GODA_ATKINSON09,c2,NO_REINSURANCE,0.0,0.0,0.0,0.0,95822490.09380765,95822490.09380765,800,,
2000000,123335.6774168985,58604.144007366674,64731.53340953181,3464107.252358269,1725602.85367259,1921616.4392801526,287606602.9156662,123675966.62983629,225768619.60074806,0.47515970427010595,20001,0.0,0.0,0.0,12332951.094135143,5860121.394666935,6472829.699468208,-123335.6774168985,-64731.53340953181,0.0,0.0,12209615.416718245,6408098.166058675,-58604.14400736669,5801517.250659569,False,10001,0.0,0.0,0.0,24664669.01647805,11719656.835789759,12945012.180688292,-123335.6774168985,-64731.53340953181,0.0,0.0,24541333.339061152,12880280.64727876,-58604.14400736669,11661052.691782393,False,C2_GODA_ATKINSON09,c2,FROZEN_OCCURRENCE_XOL,18811083.54014544,61837983.314918146,0.0,0.0,95822490.09380765,34077380.568739,800,198.98000199980007,1053.5963039969863
