tree_id,tree_name,tree_path,tree_type,tectonic_setting,branch_index,branch_weight,rupture_set_id,rupture_set_name,rupture_set_type,rupture_set_weight,source_count
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,0,0.18000000000000000,3150,"Cascadia (segmented, 1-2, bottom)",INTERFACE,0.18000000000000000,1
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,1,0.046400000000000000,3172,"Cascadia (unsegmented, 1-2-3-4, top)",INTERFACE,0.046400000000000000,1
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,2,0.13500000000000000,3160,"Cascadia (unsegmented, 1-2-3, bottom)",INTERFACE,0.13500000000000000,1
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,3,0.30000000000000000,3111,"Cascadia (segmented, 1, middle)",INTERFACE,0.30000000000000000,1
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,4,0.12000000000000000,3112,"Cascadia (segmented, 1, top)",INTERFACE,0.12000000000000000,1
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,5,0.30000000000000000,3161,"Cascadia (segmented, 1-2-3, middle)",INTERFACE,0.30000000000000000,1
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,6,0.30000000000000000,3170,"Cascadia (full, bottom)",INTERFACE,0.30000000000000000,1
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,7,0.12000000000000000,3152,"Cascadia (segmented, 1-2, top)",INTERFACE,0.12000000000000000,1
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,8,0.18000000000000000,3160,"Cascadia (segmented, 1-2-3, bottom)",INTERFACE,0.18000000000000000,1
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,9,0.11580000000000000,3171,"Cascadia (unsegmented, 1-2-3-4, middle)",INTERFACE,0.11580000000000000,1
