target_group,official_tree_id,official_tree_name,tree_path,official_tree_type,official_branch_index,official_branch_weight,rupture_set_id,rupture_set_name,rupture_set_type,official_rupture_set_weight,official_source_count,official_rupture_count,official_iterated_raw_rate_sum,official_total_mfd_rate_sum,official_iterated_weighted_rate_sum,official_weighted_total_mfd_rate_sum,tree_path_key,csv_tree_id,csv_tree_name,csv_tree_type,csv_branch_index,csv_branch_weight,csv_rupture_set_weight,csv_rupture_count,csv_raw_rate_sum,csv_weighted_rate_sum,csv_source_count,_merge,rupture_count_matches,source_count_matches,raw_rate_matches_csv,weighted_rate_matches_csv,official_branch_and_set_weights_match,csv_branch_and_set_weights_match,official_and_csv_weights_match,deprecated_total_mfd_matches_iteration,raw_rate_absolute_difference,weighted_rate_absolute_difference
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,13,0.135,3160,"Cascadia (unsegmented, 1-2-3, bottom)",INTERFACE,0.135,1,1184.0,0.0009999999354579,0.0009999999354579,0.0001349999912868,0.0001349999912868,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,1,0.135,0.135,1184,0.0009999999354579024,0.00013499999128681683,1,both,True,True,True,True,True,True,True,True,2.3852447794681098e-18,1.6832238727837456e-17
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,16,0.3,3161,"Cascadia (segmented, 1-2-3, middle)",INTERFACE,0.3,1,3.0,0.0001739,0.0001739,5.217e-05,5.217e-05,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,19,0.3,0.3,3,0.0001739,5.2170000000000004e-05,1,both,True,True,True,True,True,True,True,True,0.0,6.776263578034403e-21
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,7,0.225,3161,"Cascadia (unsegmented, 1-2-3, middle)",INTERFACE,0.225,1,1184.0,0.0009999999354579,0.0009999999354579,0.000224999985478,0.000224999985478,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,9,0.225,0.225,1184,0.0009999999354579024,0.0002249999854780281,1,both,True,True,True,True,True,True,True,True,2.3852447794681098e-18,2.81079413216867e-17
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,6,0.12,3162,"Cascadia (segmented, 1-2-3, top)",INTERFACE,0.12,1,3.0,0.0001739,0.0001739,2.0868e-05,2.0868e-05,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,20,0.12,0.12,3,0.0001739,2.0868e-05,1,both,True,True,True,True,True,True,True,True,0.0,0.0
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,8,0.09,3162,"Cascadia (unsegmented, 1-2-3, top)",INTERFACE,0.09,1,1168.0,0.0009999999354579,0.0009999999354579,8.99999941912111e-05,8.999999419121121e-05,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,12,0.09,0.09,1168,0.0009999999354579027,8.999999419121123e-05,1,both,True,True,True,True,True,True,True,True,2.6020852139652106e-18,1.2197274440461925e-19
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,17,0.3,3170,"Cascadia (full, bottom)",INTERFACE,0.3,1,3.0,0.0019,0.0019,0.00057,0.00057,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,6,0.3,0.3,3,0.0019000000000000002,0.00057,1,both,True,True,True,True,True,True,True,True,2.168404344971009e-19,0.0
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,5,0.0696,3170,"Cascadia (unsegmented, 1-2-3-4, bottom)",INTERFACE,0.0696,1,2544.0,0.0009999999354579,0.0009999999354579,6.95999955078711e-05,6.959999550787001e-05,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,15,0.0696,0.0696,2544,0.0009999999354579024,6.959999550787001e-05,1,both,True,True,True,True,True,True,True,True,2.3852447794681098e-18,1.0977546996415732e-18
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,2,0.5,3171,"Cascadia (full, middle)",INTERFACE,0.5,1,3.0,0.0019,0.0019,0.00095,0.00095,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,11,0.5,0.5,3,0.0019000000000000002,0.0009500000000000001,1,both,True,True,True,True,True,True,True,True,2.168404344971009e-19,1.0842021724855044e-19
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,20,0.1158,3171,"Cascadia (unsegmented, 1-2-3-4, middle)",INTERFACE,0.1158,1,2512.0,0.0009999999354578,0.0009999999354579,0.000115799992526,0.000115799992526,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,10,0.1158,0.1158,2512,0.0009999999354579027,0.0001157999925260251,1,both,True,True,True,True,True,True,True,True,1.0256552551712872e-16,2.5112832820195496e-17
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,1,0.2,3172,"Cascadia (full, top)",INTERFACE,0.2,1,3.0,0.0019,0.0019,0.00038,0.00038,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,13,0.2,0.2,3,0.0019000000000000002,0.00038,1,both,True,True,True,True,True,True,True,True,2.168404344971009e-19,0.0
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,12,0.0464,3172,"Cascadia (unsegmented, 1-2-3-4, top)",INTERFACE,0.0464,1,2464.0,0.0009999999354579,0.0009999999354579,4.639999700524658e-05,4.639999700524667e-05,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,0,0.0464,0.0464,2464,0.0009999999354579027,4.639999700524667e-05,1,both,True,True,True,True,True,True,True,True,2.6020852139652106e-18,9.486769009248164e-20
oregon_intraslab,8231,Oregon Intraslab Sources,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/slab/OR,SLAB,0,1.0,8211,OR Intraslab,SLAB,1.0,821,5747.0,0.001869697224716,0.001869697224716,0.001869697224716,0.001869697224716,/subduction/slab/or,8231,Oregon Intraslab Sources,SLAB,0,1.0,1.0,5747,0.001869697224716039,0.001869697224716039,821,both,True,True,True,True,True,True,True,True,3.903127820947816e-17,3.903127820947816e-17
oregon_intraslab,8231,Oregon Intraslab Sources,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/slab/OR,SLAB,1,1.0,8212,OR Intraslab,SLAB,1.0,821,6568.0,4.67242767460946e-05,4.672427674609461e-05,4.67242767460946e-05,4.672427674609461e-05,/subduction/slab/or,8231,Oregon Intraslab Sources,SLAB,1,1.0,1.0,6568,4.672427674609461e-05,4.672427674609461e-05,821,both,True,True,True,True,True,True,True,True,6.776263578034403e-21,6.776263578034403e-21
