case_id,imt_name,magnitude,r_rup_km,z_tor_km,z_hyp_input_km,vs30_mps,branch_id,branch_weight,mean_ln_units,median_units,sigma_total_ln
ztor30_zhyp60,PGA,7.0000000000000000,100.00000000000000,30.000000000000000,60.000000000000000,760.00000000000000,epi-lo,0.18500000000000000,-3.4292844637845350,0.032410123094844530,0.79145435749637520
ztor30_zhyp60,PGA,7.0000000000000000,100.00000000000000,30.000000000000000,60.000000000000000,760.00000000000000,epi-off,0.63000000000000000,-2.8535344637845350,0.057640233100451760,0.79145435749637520
ztor30_zhyp60,PGA,7.0000000000000000,100.00000000000000,30.000000000000000,60.000000000000000,760.00000000000000,epi-hi,0.18500000000000000,-2.2777844637845350,0.10251107230144730,0.79145435749637520
ztor30_zhyp60,SA1P0,7.0000000000000000,100.00000000000000,30.000000000000000,60.000000000000000,760.00000000000000,epi-lo,0.18500000000000000,-3.5310088922225686,0.029275365274527485,0.81979509635030150
ztor30_zhyp60,SA1P0,7.0000000000000000,100.00000000000000,30.000000000000000,60.000000000000000,760.00000000000000,epi-off,0.63000000000000000,-3.1410123983158230,0.043239000644141710,0.81979509635030150
ztor30_zhyp60,SA1P0,7.0000000000000000,100.00000000000000,30.000000000000000,60.000000000000000,760.00000000000000,epi-hi,0.18500000000000000,-2.7510159044090770,0.063862949588227250,0.81979509635030150
ztor50_zhyp60,PGA,7.0000000000000000,100.00000000000000,50.000000000000000,60.000000000000000,760.00000000000000,epi-lo,0.18500000000000000,-2.8012844637845350,0.060732004444225850,0.79145435749637520
ztor50_zhyp60,PGA,7.0000000000000000,100.00000000000000,50.000000000000000,60.000000000000000,760.00000000000000,epi-off,0.63000000000000000,-2.2255344637845353,0.10800967594534344,0.79145435749637520
ztor50_zhyp60,PGA,7.0000000000000000,100.00000000000000,50.000000000000000,60.000000000000000,760.00000000000000,epi-hi,0.18500000000000000,-1.6497844637845354,0.19209130679248093,0.79145435749637520
ztor50_zhyp60,SA1P0,7.0000000000000000,100.00000000000000,50.000000000000000,60.000000000000000,760.00000000000000,epi-lo,0.18500000000000000,-3.0690088922225685,0.046467186032207466,0.81979509635030150
ztor50_zhyp60,SA1P0,7.0000000000000000,100.00000000000000,50.000000000000000,60.000000000000000,760.00000000000000,epi-off,0.63000000000000000,-2.6790123983158227,0.068630900688582460,0.81979509635030150
ztor50_zhyp60,SA1P0,7.0000000000000000,100.00000000000000,50.000000000000000,60.000000000000000,760.00000000000000,epi-hi,0.18500000000000000,-2.2890159044090770,0.10136616678404671,0.81979509635030150
ztor30_zhyp100,PGA,7.0000000000000000,100.00000000000000,30.000000000000000,100.00000000000000,760.00000000000000,epi-lo,0.18500000000000000,-3.4292844637845350,0.032410123094844530,0.79145435749637520
ztor30_zhyp100,PGA,7.0000000000000000,100.00000000000000,30.000000000000000,100.00000000000000,760.00000000000000,epi-off,0.63000000000000000,-2.8535344637845350,0.057640233100451760,0.79145435749637520
ztor30_zhyp100,PGA,7.0000000000000000,100.00000000000000,30.000000000000000,100.00000000000000,760.00000000000000,epi-hi,0.18500000000000000,-2.2777844637845350,0.10251107230144730,0.79145435749637520
ztor30_zhyp100,SA1P0,7.0000000000000000,100.00000000000000,30.000000000000000,100.00000000000000,760.00000000000000,epi-lo,0.18500000000000000,-3.5310088922225686,0.029275365274527485,0.81979509635030150
ztor30_zhyp100,SA1P0,7.0000000000000000,100.00000000000000,30.000000000000000,100.00000000000000,760.00000000000000,epi-off,0.63000000000000000,-3.1410123983158230,0.043239000644141710,0.81979509635030150
ztor30_zhyp100,SA1P0,7.0000000000000000,100.00000000000000,30.000000000000000,100.00000000000000,760.00000000000000,epi-hi,0.18500000000000000,-2.7510159044090770,0.063862949588227250,0.81979509635030150
