metric,expected,realized,standard_deviation,z_score
Total earthquake occurrences,10446.442914914665,10630,102.20784174863817,1.7959197840881944
Nonempty catalog years,10419.208310609607,10593,101.80829219518255,1.7070484696591015
Multi-event catalog years,27.187228112790507,36,5.214101891994851,1.69018022082377
