scenario_id,source_type,gmm_name,gmm_label,implementation_class,imt_name,imt_period_sec,magnitude,r_rup_km,z_hyp_km,vs30_mps,logic_tree_name,branch_index,branch_id,branch_weight,mean_ln_units,median_units,sigma_total_ln
slab_m7_reference_rock,intraslab,PSBAH_20_CASCADIA_SLAB,Parker et al. (2020) : Cascadia : Slab,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaSlab,PGA,NaN,7.0000000000000000,100.00000000000000,60.000000000000000,760.00000000000000,ground-motion-tree,1,epi-off,0.63000000000000000,-3.2655024637845350,0.038177747328099990,0.79145435749637520
slab_m7_reference_rock,intraslab,PSBAH_20_CASCADIA_SLAB,Parker et al. (2020) : Cascadia : Slab,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaSlab,PGA,NaN,7.0000000000000000,100.00000000000000,60.000000000000000,760.00000000000000,ground-motion-tree,2,epi-hi,0.18500000000000000,-2.6897524637845347,0.067897744442441750,0.79145435749637520
slab_m7_reference_rock,intraslab,PSBAH_20_CASCADIA_SLAB,Parker et al. (2020) : Cascadia : Slab,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaSlab,SA0P2,0.20000000000000000,7.0000000000000000,100.00000000000000,60.000000000000000,760.00000000000000,ground-motion-tree,0,epi-lo,0.18500000000000000,-2.8165935544278130,0.059809333331422423,0.82643874546151330
slab_m7_reference_rock,intraslab,PSBAH_20_CASCADIA_SLAB,Parker et al. (2020) : Cascadia : Slab,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaSlab,SA0P2,0.20000000000000000,7.0000000000000000,100.00000000000000,60.000000000000000,760.00000000000000,ground-motion-tree,1,epi-off,0.63000000000000000,-2.2408435544278130,0.10636873870294520,0.82643874546151330
slab_m7_reference_rock,intraslab,PSBAH_20_CASCADIA_SLAB,Parker et al. (2020) : Cascadia : Slab,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaSlab,SA0P2,0.20000000000000000,7.0000000000000000,100.00000000000000,60.000000000000000,760.00000000000000,ground-motion-tree,2,epi-hi,0.18500000000000000,-1.6650935544278130,0.18917295918614024,0.82643874546151330
slab_m7_reference_rock,intraslab,PSBAH_20_CASCADIA_SLAB,Parker et al. (2020) : Cascadia : Slab,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaSlab,SA1P0,1.0000000000000000,7.0000000000000000,100.00000000000000,60.000000000000000,760.00000000000000,ground-motion-tree,0,epi-lo,0.18500000000000000,-3.8340808922225684,0.021621201555126340,0.81979509635030150
slab_m7_reference_rock,intraslab,PSBAH_20_CASCADIA_SLAB,Parker et al. (2020) : Cascadia : Slab,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaSlab,SA1P0,1.0000000000000000,7.0000000000000000,100.00000000000000,60.000000000000000,760.00000000000000,ground-motion-tree,1,epi-off,0.63000000000000000,-3.4440843983158227,0.031933987473852790,0.81979509635030150
slab_m7_reference_rock,intraslab,PSBAH_20_CASCADIA_SLAB,Parker et al. (2020) : Cascadia : Slab,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaSlab,SA1P0,1.0000000000000000,7.0000000000000000,100.00000000000000,60.000000000000000,760.00000000000000,ground-motion-tree,2,epi-hi,0.18500000000000000,-3.0540879044090770,0.047165720803264020,0.81979509635030150
slab_m7_reference_rock,intraslab,PSBAH_20_CASCADIA_SLAB,Parker et al. (2020) : Cascadia : Slab,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaSlab,SA2P0,2.0000000000000000,7.0000000000000000,100.00000000000000,60.000000000000000,760.00000000000000,ground-motion-tree,0,epi-lo,0.18500000000000000,-4.3627485271139460,0.012743314126952355,0.79690902868520700
slab_m7_reference_rock,intraslab,PSBAH_20_CASCADIA_SLAB,Parker et al. (2020) : Cascadia : Slab,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaSlab,SA2P0,2.0000000000000000,7.0000000000000000,100.00000000000000,60.000000000000000,760.00000000000000,ground-motion-tree,1,epi-off,0.63000000000000000,-4.0527517138615080,0.017374499149731177,0.79690902868520700
slab_m7_reference_rock,intraslab,PSBAH_20_CASCADIA_SLAB,Parker et al. (2020) : Cascadia : Slab,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaSlab,SA2P0,2.0000000000000000,7.0000000000000000,100.00000000000000,60.000000000000000,760.00000000000000,ground-motion-tree,2,epi-hi,0.18500000000000000,-3.7427549006090706,0.023688752996015510,0.79690902868520700
