rupture_ordinal,event_id,rupture_id,tree_id,branch_index,rupture_set_id,source_index,source_id,source_name,source_type,rupture_index,magnitude,raw_annual_rate,top_depth_km,width_km,centroid_longitude,centroid_latitude,centroid_depth_km
29,EVT_00000043,521adfa29d544914bafce386,3199,9,3161,0,3161,"Cascadia (unsegmented, 1-2-3, middle)",INTERFACE,499,8.5,1.0080644859353255e-06,5.0,80.0,,,
30,EVT_00000044,4b9d76791ecf668386488cf8,8231,0,8211,1,8211,"PointSourceFinite: -124.200, 42.100",SLAB,1,6.65,8.32119587263521e-07,42.0,8.0,-124.2,42.1,42.0
31,EVT_00000046,465d34a1bbc0ac55af68fad8,3199,13,3172,0,3172,"Cascadia (full, top)",INTERFACE,2,9.01,0.0006327,5.091845789473684,85.0,-125.26684506684153,45.06951187159024,11.059411725958665
32,EVT_00000048,9f07c4797bba6c4071c95df2,3199,7,3151,0,3151,"Cascadia (segmented, 1-2, middle)",INTERFACE,0,8.33,0.0001306942,5.21813375,75.0,-124.79118362248585,42.671325164629074,10.51245985001918
33,EVT_00000049,807009b1948dd48fa104de4d,8231,0,8211,29,8211,"PointSourceFinite: -123.500, 42.200",SLAB,2,6.75,5.269814080247631e-07,42.0,8.0,-123.5,42.2,42.0
34,EVT_00000050,fc63d6b227398a2fb4155e11,8231,0,8211,640,8211,"PointSourceFinite: -123.800, 45.300",SLAB,3,6.85,6.971414128786608e-07,42.0,8.0,-123.8,45.3,42.0
35,EVT_00000051,d21ad44cebdc5648efa096f2,8231,0,8211,595,8211,"PointSourceFinite: -123.000, 45.000",SLAB,6,7.15,4.920711207377445e-07,50.0,8.0,-123.0,45.0,50.0
36,EVT_00000053,d778fa6dae9a653c71554994,3199,12,3162,0,3162,"Cascadia (unsegmented, 1-2-3, top)",INTERFACE,248,8.2,6.944444236443356e-07,5.0,70.0,,,
37,EVT_00000054,a13a8c4f308187ab3527f260,8231,0,8211,697,8211,"PointSourceFinite: -123.200, 45.600",SLAB,0,6.55,7.112183515027322e-07,50.0,8.0,-123.2,45.6,50.0
38,EVT_00000055,d0b95fa45be58d430224957f,8231,0,8211,606,8211,"PointSourceFinite: -123.700, 45.100",SLAB,6,7.15,5.82650708388283e-07,42.0,8.0,-123.7,45.1,42.0
39,EVT_00000058,573fdf1ac9942a50591aba0a,8231,0,8211,501,8211,"PointSourceFinite: -123.200, 44.500",SLAB,3,6.85,5.163080722391065e-07,50.0,8.0,-123.2,44.5,50.0
40,EVT_00000059,99d35298284bc132c416e7b4,3199,6,3170,0,3170,"Cascadia (full, bottom)",INTERFACE,0,8.85,0.0006346,5.091845789473684,155.0,-124.84694859812409,45.16491048816848,18.168106230519605
41,EVT_00000060,dc7e6146423b32cf34168a74,3199,9,3161,0,3161,"Cascadia (unsegmented, 1-2-3, middle)",INTERFACE,427,8.4,8.56164357917674e-07,5.0,80.0,,,
42,EVT_00000061,c7fcbd4aaec69abe49b49464,3199,17,3111,0,3111,"Cascadia (segmented, 1, middle)",INTERFACE,0,8.19,0.0001452232,5.349014,75.0,-124.7296433232098,42.0203457121948,10.209791491788426
43,EVT_00000062,d906824c7ba6e7c418b1ce85,8231,0,8211,575,8211,"PointSourceFinite: -123.200, 44.900",SLAB,4,6.95,6.598581499704871e-07,50.0,8.0,-123.2,44.9,50.0
44,EVT_00000063,d8cb63cf87e3ce02bf755c3f,3199,1,3160,0,3160,"Cascadia (unsegmented, 1-2-3, bottom)",INTERFACE,793,8.2,8.473124973075812e-07,5.3540667149249686,145.0,,,
45,EVT_00000064,cfd5a4d8bfd1f7839e5590c3,8231,0,8211,722,8211,"PointSourceFinite: -122.400, 45.700",SLAB,1,6.65,2.4931152384038e-07,60.0,8.0,-122.4,45.7,60.0
46,EVT_00000066,441f65b18ec7cd0774523569,8231,0,8211,491,8211,"PointSourceFinite: -122.300, 44.400",SLAB,2,6.75,2.264111329005649e-07,60.0,8.0,-122.3,44.4,60.0
47,EVT_00000067,a0625447b91e06bf2f5c5383,8231,0,8211,514,8211,"PointSourceFinite: -123.800, 44.600",SLAB,1,6.65,6.66033948521581e-07,42.0,8.0,-123.8,44.6,42.0
48,EVT_00000068,456dfb7559393fbd2b0d3e68,3199,12,3162,0,3162,"Cascadia (unsegmented, 1-2-3, top)",INTERFACE,180,8.1,6.510416471665647e-07,5.0,70.0,,,
49,EVT_00000070,d7cdc5245f652591784fa96b,8231,0,8211,95,8211,"PointSourceFinite: -123.200, 42.500",SLAB,2,6.75,3.319196866736025e-07,50.0,8.0,-123.2,42.5,50.0
50,EVT_00000072,68b0524399dc894cc273ed66,3199,9,3161,0,3161,"Cascadia (unsegmented, 1-2-3, middle)",INTERFACE,200,8.2,6.868131662416505e-07,5.392846048258304,80.0,,,
